Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zion Williamson,10.5,2024-04-14,NOP,,LAL,L,34.333333333333336,4,13,0.308,0,1,0.0,4,5,0.8,3,5,8,8,2,0,4,2,12
Kris Murray,6.4,2024-04-14,POR,@,SAC,L,43.595,3,15,0.2,1,7,0.143,2,2,1.0,7,11,18,0,1,1,2,3,9
Trendon Watford,9.9,2024-04-14,BKN,@,PHI,L,37.75,5,13,0.385,1,2,0.5,3,4,0.75,0,8,8,5,1,1,3,3,14
Andrew Wiggins,17.2,2024-04-14,GSW,,UTA,W,20.216666666666665,6,11,0.545,2,5,0.4,5,6,0.833,1,3,4,3,2,0,1,2,19
T.J. McConnell,17.1,2024-04-14,IND,,ATL,W,15.15,7,11,0.636,3,4,0.75,0,0,0.0,0,4,4,8,0,0,1,2,17
Herbert Jones,13.7,2024-04-14,NOP,,LAL,L,32.18333333333333,6,13,0.462,4,7,0.571,2,2,1.0,1,4,5,1,2,0,1,3,18
Omer Yurtseven,10.6,2024-04-14,UTA,@,GSW,L,29.8,5,12,0.417,0,1,0.0,1,2,0.5,6,12,18,2,0,0,2,2,11
Thomas Bryant,17.4,2024-04-14,MIA,,TOR,W,23.39666666666667,8,10,0.8,0,1,0.0,2,2,1.0,3,7,10,1,0,1,2,1,18
Jusuf Nurkić,15.4,2024-04-14,PHX,@,MIN,W,20.166666666666668,3,4,0.75,0,1,0.0,0,0,0.0,2,3,5,8,5,1,1,4,6
Delon Wright,15.1,2024-04-14,MIA,,TOR,W,28.283333333333335,4,7,0.571,3,5,0.6,0,0,0.0,1,2,3,4,4,1,1,1,11
Zach Collins,17.2,2024-04-14,SAS,,DET,W,16.383333333333333,6,11,0.545,1,2,0.5,4,4,1.0,4,5,9,2,1,0,0,3,17
Keon Ellis,13.2,2024-04-14,SAC,,POR,W,24.183333333333334,4,9,0.444,3,6,0.5,2,2,1.0,1,2,3,2,3,2,1,3,13
Harrison Barnes,17.2,2024-04-14,SAC,,POR,W,30.683333333333334,5,8,0.625,2,4,0.5,5,7,0.714,1,4,5,3,2,0,1,1,17
Marcus Sasser,13.8,2024-04-14,DET,@,SAS,L,31.216666666666665,6,13,0.462,2,4,0.5,3,3,1.0,1,2,3,7,0,1,3,1,17
Brandon Williams,10.7,2024-04-14,DAL,@,OKC,L,29.783333333333335,8,21,0.381,1,6,0.167,5,6,0.833,1,4,5,3,0,0,3,1,22
Keyonte George,17.8,2024-04-14,UTA,@,GSW,L,20.133333333333333,8,11,0.727,5,6,0.833,0,1,0.0,0,1,1,4,0,0,1,1,21
Josh Hart,11.1,2024-04-14,NYK,,CHI,W,40.13333333333333,6,10,0.6,0,2,0.0,0,0,0.0,3,7,10,4,1,1,3,5,12
Luke Kornet,18.3,2024-04-14,BOS,,WAS,W,27.116666666666667,4,5,0.8,0,0,0.0,3,3,1.0,3,5,8,5,0,3,0,0,11
Leaky Black,16.6,2024-04-14,CHA,@,CLE,W,32.03333333333333,4,4,1.0,2,2,1.0,1,1,1.0,0,6,6,5,2,1,0,3,11
Jonathan Isaac,10.8,2024-04-14,ORL,,MIL,W,26.158333333333335,4,11,0.364,2,7,0.286,0,0,0.0,2,6,8,2,1,3,0,2,10
Duop Reath,11.7,2024-04-14,POR,@,SAC,L,24.15,5,12,0.417,2,5,0.4,2,2,1.0,1,5,6,0,3,1,1,2,14
Bogdan Bogdanović,13.4,2024-04-14,ATL,@,IND,L,27.45,6,15,0.4,3,8,0.375,3,3,1.0,1,3,4,1,2,0,0,2,18
Austin Reaves,15.0,2024-04-14,LAL,@,NOP,W,28.566666666666666,8,12,0.667,3,7,0.429,1,2,0.5,0,1,1,2,1,1,2,2,20
Sandro Mamukelashvili,12.2,2024-04-14,SAS,,DET,W,25.983333333333334,7,13,0.538,3,6,0.5,1,2,0.5,2,6,8,1,0,0,3,0,18
Ousmane Dieng,12.7,2024-04-14,OKC,,DAL,W,18.133333333333333,6,12,0.5,1,3,0.333,0,0,0.0,0,1,1,4,3,2,1,2,13
Lonnie Walker IV,9.6,2024-04-14,BKN,@,PHI,L,28.983333333333334,6,15,0.4,0,6,0.0,0,0,0.0,0,6,6,5,1,2,2,0,12
Bryce McGowens,15.4,2024-04-14,CHA,@,CLE,W,29.716666666666665,6,14,0.429,2,6,0.333,4,4,1.0,1,2,3,4,0,1,0,0,18
Jordan Nwora,11.8,2024-04-14,TOR,@,MIA,L,20.508333333333333,6,10,0.6,2,4,0.5,0,0,0.0,2,9,11,1,0,0,2,1,14
Trae Young,8.6,2024-04-14,ATL,@,IND,L,31.916666666666668,4,9,0.444,1,4,0.25,3,3,1.0,1,2,3,12,0,0,8,1,12
Kobe Brown,11.6,2024-04-14,LAC,,HOU,L,38.43333333333333,4,10,0.4,1,3,0.333,0,0,0.0,3,3,6,4,2,2,0,3,9
Jabari Smith Jr.,8.6,2024-04-14,HOU,@,LAC,W,32.88166666666667,6,19,0.316,2,10,0.2,1,2,0.5,2,6,8,3,0,0,0,1,15
Noah Clowney,13.1,2024-04-14,BKN,@,PHI,L,41.135,5,10,0.5,2,4,0.5,4,5,0.8,1,3,4,2,1,1,1,3,16
OG Anunoby,5.0,2024-04-14,NYK,,CHI,W,42.733333333333334,4,10,0.4,2,4,0.5,1,3,0.333,2,3,5,4,2,1,6,4,11
Aaron Gordon,17.1,2024-04-14,DEN,@,MEM,W,26.083333333333332,4,6,0.667,0,1,0.0,7,8,0.875,3,2,5,5,0,1,1,2,15
Rui Hachimura,11.9,2024-04-14,LAL,@,NOP,W,34.266666666666666,5,10,0.5,1,4,0.25,0,0,0.0,1,6,7,4,2,0,1,1,11
Cole Anthony,13.6,2024-04-14,ORL,,MIL,W,17.05,5,9,0.556,1,3,0.333,2,2,1.0,2,3,5,4,2,0,1,3,13
Amir Coffey,11.9,2024-04-14,LAC,,HOU,L,36.03333333333333,7,17,0.412,0,7,0.0,4,4,1.0,0,3,3,2,1,1,1,0,18
Taze Moore,8.8,2024-04-14,POR,@,SAC,L,30.15,5,14,0.357,1,5,0.2,1,2,0.5,4,4,8,4,1,0,2,2,12
Jarrett Allen,14.4,2024-04-14,CLE,,CHA,L,22.566666666666666,7,7,1.0,0,0,0.0,0,0,0.0,1,6,7,2,2,0,3,1,14
Michael Porter Jr.,9.3,2024-04-14,DEN,@,MEM,W,24.266666666666666,5,12,0.417,2,8,0.25,0,0,0.0,0,5,5,4,0,2,2,0,12
Anthony Edwards,9.4,2024-04-14,MIN,,PHX,L,35.166666666666664,3,7,0.429,0,2,0.0,7,8,0.875,1,5,6,4,1,1,5,3,13
Khris Middleton,9.1,2024-04-14,MIL,@,ORL,L,31.583333333333332,6,15,0.4,0,4,0.0,5,6,0.833,1,2,3,5,1,0,4,3,17
Kevin Durant,7.8,2024-04-14,PHX,@,MIN,W,37.596666666666664,6,14,0.429,1,3,0.333,2,2,1.0,2,2,4,1,2,1,4,3,15
Sidy Cissoko,9.1,2024-04-14,SAS,,DET,W,31.716666666666665,3,8,0.375,0,2,0.0,1,2,0.5,1,3,4,5,3,2,1,4,7
Trey Jemison III,8.7,2024-04-14,MEM,,DEN,L,38.165,3,6,0.5,0,0,0.0,0,0,0.0,3,8,11,3,2,1,2,4,6
Jalen Wilson,6.9,2024-04-14,BKN,@,PHI,L,32.25,4,13,0.308,1,5,0.2,0,0,0.0,2,7,9,1,1,2,0,3,9
Tre Jones,11.2,2024-04-14,SAS,,DET,W,24.533333333333335,5,12,0.417,1,6,0.167,0,0,0.0,0,6,6,6,1,0,0,1,11
Amari Bailey,12.8,2024-04-14,CHA,@,CLE,W,21.633333333333333,4,10,0.4,1,2,0.5,2,2,1.0,4,1,5,5,2,0,1,1,11
Larry Nance Jr.,13.6,2024-04-14,NOP,,LAL,L,30.511666666666667,5,8,0.625,1,2,0.5,2,2,1.0,2,4,6,4,1,0,1,3,13
Boban Marjanovic,11.8,2024-04-14,HOU,@,LAC,W,12.0,6,8,0.75,0,0,0.0,1,3,0.333,0,8,8,1,1,1,2,0,13
Tre Mann,8.5,2024-04-14,CHA,@,CLE,W,24.233333333333334,4,11,0.364,3,6,0.5,0,0,0.0,0,4,4,6,1,0,2,2,11
Jules Bernard,11.7,2024-04-14,WAS,@,BOS,L,24.3,5,10,0.5,2,4,0.5,1,1,1.0,2,4,6,3,1,0,2,0,13
Gary Trent Jr.,12.5,2024-04-14,TOR,@,MIA,L,23.25,6,14,0.429,3,8,0.375,3,3,1.0,1,3,4,1,0,0,0,1,18
Olivier-Maxence Prosper,7.9,2024-04-14,DAL,@,OKC,L,37.3,5,14,0.357,2,6,0.333,3,5,0.6,3,5,8,1,0,0,2,2,15
Jared Rhoden,11.0,2024-04-14,DET,@,SAS,L,31.85,6,12,0.5,4,8,0.5,0,0,0.0,0,4,4,2,0,0,0,4,16
Cam Thomas,12.5,2024-04-14,BKN,@,PHI,L,26.598333333333333,5,12,0.417,3,7,0.429,5,6,0.833,0,3,3,2,0,0,1,0,18
Justin Champagnie,11.2,2024-04-14,WAS,@,BOS,L,20.783333333333335,4,9,0.444,0,2,0.0,1,1,1.0,1,6,7,3,2,1,0,1,9
Jordan Goodwin,6.2,2024-04-14,MEM,,DEN,L,36.5,3,13,0.231,0,3,0.0,2,4,0.5,2,6,8,3,3,0,1,1,8
Evan Mobley,13.4,2024-04-14,CLE,,CHA,L,25.4,5,13,0.385,0,1,0.0,4,4,1.0,3,3,6,5,0,0,0,0,14
Javonte Green,7.3,2024-04-14,CHI,@,NYK,L,37.78333333333333,5,14,0.357,1,6,0.167,0,0,0.0,4,4,8,1,2,0,1,4,11
Scotty Pippen Jr.,11.7,2024-04-14,MEM,,DEN,L,25.116666666666667,7,11,0.636,0,3,0.0,1,1,1.0,2,1,3,7,0,0,3,5,15
Micah Potter,8.2,2024-04-14,UTA,@,GSW,L,21.35,4,7,0.571,2,3,0.667,0,2,0.0,2,6,8,1,0,2,1,5,10
Caleb Martin,9.6,2024-04-14,MIA,,TOR,W,23.666666666666668,5,12,0.417,2,6,0.333,0,0,0.0,2,3,5,2,1,1,1,1,12
Aaron Wiggins,13.9,2024-04-14,OKC,,DAL,W,17.766666666666666,5,8,0.625,2,2,1.0,2,2,1.0,1,5,6,1,1,0,0,1,14
Trey Murphy III,10.6,2024-04-14,NOP,,LAL,L,31.543333333333333,4,8,0.5,3,6,0.5,0,0,0.0,1,2,3,2,2,1,1,2,11
Jalen Green,8.5,2024-04-14,HOU,@,LAC,W,22.666666666666668,5,14,0.357,3,10,0.3,0,0,0.0,1,5,6,3,0,0,1,0,13
Jimmy Butler III,14.8,2024-04-14,MIA,,TOR,W,24.4,6,9,0.667,0,0,0.0,3,4,0.75,3,2,5,4,0,0,1,1,15
Ochai Agbaji,5.8,2024-04-14,TOR,@,MIA,L,32.75,4,11,0.364,0,3,0.0,2,3,0.667,4,2,6,2,2,1,4,3,10
Chet Holmgren,11.6,2024-04-14,OKC,,DAL,W,11.533333333333333,6,8,0.75,0,1,0.0,1,1,1.0,2,7,9,0,0,1,2,1,13
Damian Lillard,8.6,2024-04-14,MIL,@,ORL,L,30.383333333333333,2,14,0.143,0,4,0.0,12,13,0.923,1,3,4,2,1,0,2,0,16
Keegan Murray,7.3,2024-04-14,SAC,,POR,W,27.283333333333335,4,12,0.333,2,7,0.286,2,2,1.0,1,4,5,1,1,1,1,3,12
Kenrich Williams,7.3,2024-04-14,OKC,,DAL,W,20.5,4,9,0.444,1,2,0.5,0,0,0.0,0,7,7,7,0,0,4,0,9
Rayan Rupert,7.9,2024-04-14,POR,@,SAC,L,40.266666666666666,4,12,0.333,2,7,0.286,1,2,0.5,3,3,6,5,0,0,2,1,11
Kelly Olynyk,6.3,2024-04-14,TOR,@,MIA,L,22.25,5,9,0.556,1,3,0.333,0,0,0.0,1,7,8,2,1,0,4,4,11
Brandin Podziemski,10.6,2024-04-14,GSW,,UTA,W,21.45,3,7,0.429,1,3,0.333,0,0,0.0,3,6,9,2,2,0,0,0,7
Gui Santos,11.5,2024-04-14,GSW,,UTA,W,24.016666666666666,5,10,0.5,1,5,0.2,2,2,1.0,2,3,5,2,1,0,0,3,13
Josh Giddey,8.0,2024-04-14,OKC,,DAL,W,19.513333333333332,3,8,0.375,1,4,0.25,1,1,1.0,2,4,6,8,0,0,3,2,8
Isaac Okoro,13.1,2024-04-14,CLE,,CHA,L,29.05,3,6,0.5,3,4,0.75,2,2,1.0,0,3,3,6,0,0,0,0,11
Luka Samanic,4.0,2024-04-14,UTA,@,GSW,L,28.95,5,11,0.455,0,5,0.0,4,4,1.0,1,4,5,2,1,0,7,4,14
Shai Gilgeous-Alexander,13.8,2024-04-14,OKC,,DAL,W,15.916666666666666,5,11,0.455,0,4,0.0,5,5,1.0,1,0,1,6,0,0,0,1,15
Gradey Dick,7.4,2024-04-14,TOR,@,MIA,L,29.016666666666666,5,13,0.385,1,5,0.2,3,4,0.75,0,2,2,1,2,0,2,1,14
Julian Champagnie,9.0,2024-04-14,SAS,,DET,W,25.6,4,9,0.444,2,4,0.5,1,2,0.5,0,3,3,6,0,0,2,0,11
David Duke Jr.,11.3,2024-04-14,SAS,,DET,W,21.733333333333334,6,8,0.75,2,3,0.667,1,1,1.0,1,2,3,0,1,0,2,2,15
Georges Niang,12.3,2024-04-14,CLE,,CHA,L,22.566666666666666,6,9,0.667,4,7,0.571,0,0,0.0,0,1,1,1,0,0,0,2,16
Corey Kispert,10.4,2024-04-14,WAS,@,BOS,L,32.93333333333333,3,9,0.333,0,5,0.0,2,2,1.0,0,3,3,8,1,0,0,0,8
RaiQuan Gray,11.5,2024-04-14,SAS,,DET,W,22.583333333333332,5,9,0.556,0,2,0.0,0,0,0.0,2,3,5,4,0,1,0,0,10
Kira Lewis Jr.,10.0,2024-04-14,UTA,@,GSW,L,27.866666666666667,6,12,0.5,0,2,0.0,1,1,1.0,1,2,3,3,1,0,1,1,13
Anthony Gill,9.6,2024-04-14,WAS,@,BOS,L,17.433333333333334,5,12,0.417,1,5,0.2,1,1,1.0,3,2,5,3,0,0,0,2,12
Andrew Nembhard,11.0,2024-04-14,IND,,ATL,W,22.716666666666665,4,5,0.8,2,3,0.667,0,0,0.0,0,2,2,5,1,0,1,3,10
Kentavious Caldwell-Pope,10.0,2024-04-14,DEN,@,MEM,W,24.833333333333332,5,6,0.833,1,2,0.5,0,1,0.0,0,4,4,3,0,1,2,1,11
Nate Williams,8.9,2024-04-14,HOU,@,LAC,W,21.483333333333334,6,9,0.667,1,1,1.0,0,3,0.0,1,2,3,0,1,1,2,0,13
Jaden Hardy,0.1,2024-04-14,DAL,@,OKC,L,28.845,4,14,0.286,1,4,0.25,0,0,0.0,0,4,4,3,2,0,4,5,9
Jalen Smith,10.8,2024-04-14,IND,,ATL,W,19.288333333333334,4,4,1.0,2,2,1.0,0,0,0.0,3,2,5,2,0,1,2,2,10
Dario Saric,9.7,2024-04-14,GSW,,UTA,W,12.65,4,6,0.667,1,2,0.5,3,4,0.75,2,3,5,1,0,1,3,0,12
Davion Mitchell,7.6,2024-04-14,SAC,,POR,W,21.683333333333334,4,11,0.364,3,5,0.6,0,0,0.0,1,3,4,3,0,0,1,0,11
Brice Sensabaugh,2.0,2024-04-14,UTA,@,GSW,L,28.85,6,15,0.4,2,7,0.286,0,0,0.0,1,2,3,0,1,0,5,3,14
Dalen Terry,6.1,2024-04-14,CHI,@,NYK,L,24.455,3,7,0.429,0,2,0.0,0,1,0.0,3,4,7,1,1,2,1,3,6
Javon Freeman-Liberty,8.6,2024-04-14,TOR,@,MIA,L,32.75,3,6,0.5,0,2,0.0,2,2,1.0,1,0,1,7,0,2,3,1,8
Alex Fudge,10.7,2024-04-14,DAL,@,OKC,L,18.916666666666668,5,9,0.556,1,3,0.333,0,0,0.0,2,0,2,0,3,0,0,1,11
Garrett Temple,8.2,2024-04-14,TOR,@,MIA,L,24.75,1,8,0.125,1,5,0.2,6,6,1.0,2,1,3,7,0,0,1,3,9
Moses Brown,7.4,2024-04-14,POR,@,SAC,L,15.116666666666667,4,7,0.571,0,0,0.0,1,2,0.5,2,5,7,0,2,0,2,2,9
Markieff Morris,6.2,2024-04-14,DAL,@,OKC,L,23.683333333333334,2,7,0.286,2,4,0.5,2,2,1.0,0,5,5,3,0,1,2,0,8
Lindy Waters III,11.1,2024-04-14,OKC,,DAL,W,15.5,4,6,0.667,4,5,0.8,0,0,0.0,0,0,0,2,0,1,0,1,12
Doug McDermott,12.5,2024-04-14,IND,,ATL,W,18.455,6,9,0.667,3,5,0.6,0,0,0.0,1,0,1,1,0,0,0,0,15
A.J. Lawson,6.8,2024-04-14,DAL,@,OKC,L,23.533333333333335,5,13,0.385,0,5,0.0,2,2,1.0,1,4,5,2,0,0,1,1,12
Brook Lopez,6.8,2024-04-14,MIL,@,ORL,L,28.45,4,9,0.444,1,3,0.333,2,2,1.0,2,1,3,0,0,2,1,4,11
Cason Wallace,11.8,2024-04-14,OKC,,DAL,W,15.436666666666667,5,6,0.833,2,2,1.0,0,0,0.0,1,1,2,1,0,1,0,1,12
Cameron Payne,8.4,2024-04-14,PHI,,BKN,W,23.166666666666668,4,9,0.444,2,7,0.286,0,0,0.0,1,1,2,3,1,0,1,0,10
Aleksej Pokusevski,4.7,2024-04-14,CHA,@,CLE,W,19.35,3,7,0.429,1,3,0.333,1,2,0.5,0,5,5,3,1,0,3,2,8
Brandon Ingram,8.6,2024-04-14,NOP,,LAL,L,23.391666666666666,6,9,0.667,1,3,0.333,0,0,0.0,0,5,5,0,0,0,2,0,13
Bojan Bogdanovic,9.6,2024-04-14,NYK,,CHI,W,17.296666666666667,4,9,0.444,3,6,0.5,2,2,1.0,0,2,2,1,0,0,0,0,13
