Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LeBron James,36.1,2024-04-14,LAL,@,NOP,W,37.68333333333333,11,20,0.55,0,2,0.0,6,6,1.0,2,9,11,17,5,1,4,0,28
GG Jackson,31.2,2024-04-14,MEM,,DEN,L,44.11666666666667,17,36,0.472,4,13,0.308,6,7,0.857,6,6,12,1,2,1,3,1,44
Payton Pritchard,37.6,2024-04-14,BOS,,WAS,W,43.71666666666667,15,21,0.714,4,6,0.667,4,4,1.0,1,8,9,12,0,0,2,3,38
Bradley Beal,34.3,2024-04-14,PHX,@,MIN,W,37.61666666666667,14,21,0.667,6,6,1.0,2,2,1.0,3,3,6,5,2,1,1,2,36
Jalen Brunson,27.9,2024-04-14,NYK,,CHI,W,41.18833333333333,14,30,0.467,1,4,0.25,11,12,0.917,2,6,8,7,0,0,4,1,40
Myles Turner,30.1,2024-04-14,IND,,ATL,W,21.911666666666665,13,17,0.765,3,4,0.75,2,2,1.0,3,9,12,0,0,4,1,2,31
DeMar DeRozan,24.9,2024-04-14,CHI,@,NYK,L,44.483333333333334,11,24,0.458,2,4,0.5,6,8,0.75,2,3,5,5,4,1,2,1,30
Amen Thompson,26.9,2024-04-14,HOU,@,LAC,W,39.931666666666665,8,9,0.889,0,0,0.0,2,3,0.667,5,6,11,10,3,3,3,5,18
Anthony Davis,27.7,2024-04-14,LAL,@,NOP,W,32.583333333333336,13,17,0.765,0,1,0.0,4,4,1.0,4,7,11,3,2,0,3,4,30
Paolo Banchero,20.3,2024-04-14,ORL,,MIL,W,35.05,8,19,0.421,2,6,0.333,8,9,0.889,0,11,11,7,0,0,3,1,26
JT Thor,23.9,2024-04-14,CHA,@,CLE,W,41.1,8,11,0.727,3,6,0.5,1,2,0.5,0,9,9,4,2,3,0,2,20
James Wiseman,20.6,2024-04-14,DET,@,SAS,L,40.13333333333333,8,17,0.471,0,0,0.0,5,7,0.714,6,11,17,1,2,1,1,2,21
Nikola Vučević,25.1,2024-04-14,CHI,@,NYK,L,42.025,12,19,0.632,2,4,0.5,3,3,1.0,5,6,11,3,0,0,2,2,29
Donte DiVincenzo,16.9,2024-04-14,NYK,,CHI,W,52.505,10,21,0.476,5,14,0.357,0,0,0.0,2,5,7,2,2,1,4,1,25
Svi Mykhailiuk,25.2,2024-04-14,BOS,,WAS,W,37.266666666666666,10,13,0.769,6,8,0.75,0,0,0.0,1,4,5,5,0,1,1,2,26
Dejounte Murray,24.5,2024-04-14,ATL,@,IND,L,30.566666666666666,13,19,0.684,4,6,0.667,2,3,0.667,1,2,3,3,1,0,3,1,32
Nikola Jokić,18.9,2024-04-14,DEN,@,MEM,W,30.783333333333335,7,11,0.636,0,0,0.0,1,2,0.5,4,11,15,5,4,0,4,1,15
Jake LaRavia,18.9,2024-04-14,MEM,,DEN,L,39.7,11,20,0.55,4,11,0.364,3,4,0.75,2,3,5,4,0,0,4,3,29
Neemias Queta,19.1,2024-04-14,BOS,,WAS,W,19.5,8,11,0.727,0,0,0.0,3,4,0.75,3,6,9,1,0,6,3,2,19
Alex Caruso,19.7,2024-04-14,CHI,@,NYK,L,40.75,5,8,0.625,3,5,0.6,2,2,1.0,0,5,5,8,5,0,3,2,15
Nick Smith Jr.,17.9,2024-04-14,CHA,@,CLE,W,32.56666666666667,9,20,0.45,6,11,0.545,0,0,0.0,1,5,6,3,1,0,1,0,24
Christian Braun,19.9,2024-04-14,DEN,@,MEM,W,24.95,6,14,0.429,2,6,0.333,5,6,0.833,5,5,10,5,2,0,1,2,19
Mouhamed Gueye,20.1,2024-04-14,ATL,@,IND,L,26.8,6,11,0.545,2,3,0.667,5,6,0.833,4,5,9,0,2,3,0,4,19
Franz Wagner,20.9,2024-04-14,ORL,,MIL,W,32.65,10,21,0.476,1,5,0.2,4,4,1.0,1,4,5,3,3,0,0,1,25
CJ McCollum,17.6,2024-04-14,NOP,,LAL,L,33.74666666666667,9,19,0.474,4,9,0.444,3,4,0.75,2,2,4,7,0,0,3,3,25
Max Strus,16.5,2024-04-14,CLE,,CHA,L,30.583333333333332,5,12,0.417,4,6,0.667,0,0,0.0,3,7,10,11,0,0,3,0,14
Daniel Theis,17.5,2024-04-14,LAC,,HOU,L,28.833333333333332,6,12,0.5,2,6,0.333,2,2,1.0,3,8,11,2,2,2,1,2,16
Bobby Portis,15.2,2024-04-14,MIL,@,ORL,L,31.183333333333334,6,9,0.667,3,4,0.75,2,2,1.0,0,10,10,1,2,2,3,5,17
De'Aaron Fox,23.2,2024-04-14,SAC,,POR,W,25.516666666666666,10,14,0.714,2,3,0.667,2,2,1.0,0,2,2,3,3,1,1,1,24
Devin Booker,19.1,2024-04-14,PHX,@,MIN,W,35.61666666666667,6,16,0.375,3,8,0.375,8,10,0.8,2,2,4,7,1,0,1,3,23
Klay Thompson,22.4,2024-04-14,GSW,,UTA,W,19.528333333333332,7,13,0.538,6,12,0.5,5,5,1.0,0,3,3,3,0,1,0,0,25
Domantas Sabonis,19.8,2024-04-14,SAC,,POR,W,27.133333333333333,7,10,0.7,0,2,0.0,4,4,1.0,2,9,11,9,0,0,4,1,18
Tobias Harris,18.6,2024-04-14,PHI,,BKN,W,30.0,8,15,0.533,3,6,0.5,2,2,1.0,2,6,8,2,1,1,1,1,21
Pascal Siakam,21.3,2024-04-14,IND,,ATL,W,25.416666666666668,13,18,0.722,1,2,0.5,1,2,0.5,2,4,6,1,1,0,2,3,28
Buddy Hield,16.5,2024-04-14,PHI,,BKN,W,21.748333333333335,6,15,0.4,4,10,0.4,3,3,1.0,2,5,7,5,1,0,1,2,19
Jared Butler,14.3,2024-04-14,WAS,@,BOS,L,30.85,9,19,0.474,2,4,0.5,2,2,1.0,1,1,2,7,1,1,4,4,22
Eugene Omoruyi,22.6,2024-04-14,WAS,@,BOS,L,23.016666666666666,11,17,0.647,4,6,0.667,0,0,0.0,1,1,2,5,0,0,0,1,26
Tyrese Maxey,16.4,2024-04-14,PHI,,BKN,W,29.266666666666666,10,20,0.5,3,7,0.429,3,4,0.75,0,3,3,3,1,0,2,3,26
Paul Reed,14.5,2024-04-14,PHI,,BKN,W,29.016666666666666,6,12,0.5,0,1,0.0,1,2,0.5,5,7,12,3,2,2,2,3,13
Blake Wesley,20.3,2024-04-14,SAS,,DET,W,30.283333333333335,7,9,0.778,1,1,1.0,2,3,0.667,1,6,7,5,3,0,1,2,17
Taylor Hendricks,18.3,2024-04-14,UTA,@,GSW,L,41.18333333333333,6,10,0.6,2,4,0.5,2,2,1.0,3,5,8,2,3,1,1,2,16
Coby White,21.2,2024-04-14,CHI,@,NYK,L,43.25333333333333,12,18,0.667,0,3,0.0,2,2,1.0,0,2,2,4,2,0,2,1,26
Cam Whitmore,17.7,2024-04-14,HOU,@,LAC,W,35.983333333333334,9,17,0.529,2,6,0.333,1,3,0.333,3,3,6,5,0,1,1,1,21
Jamal Murray,17.7,2024-04-14,DEN,@,MEM,W,24.266666666666666,7,14,0.5,3,7,0.429,4,4,1.0,2,4,6,4,0,1,2,1,21
Tyrese Haliburton,16.8,2024-04-14,IND,,ATL,W,25.416666666666668,5,10,0.5,0,4,0.0,2,3,0.667,0,2,2,13,3,1,2,3,12
Rudy Gobert,21.2,2024-04-14,MIN,,PHX,L,32.2,7,9,0.778,0,0,0.0,7,9,0.778,3,4,7,1,2,1,1,3,21
Terance Mann,21.8,2024-04-14,LAC,,HOU,L,27.666666666666668,10,14,0.714,1,3,0.333,3,3,1.0,2,4,6,2,1,0,1,1,24
Tyler Herro,13.3,2024-04-14,MIA,,TOR,W,29.45,5,11,0.455,2,5,0.4,5,5,1.0,0,6,6,8,1,0,6,1,17
Marques Bolden,17.6,2024-04-14,CHA,@,CLE,W,29.866666666666667,7,10,0.7,0,1,0.0,0,0,0.0,4,4,8,2,1,4,1,1,14
Xavier Moon,9.7,2024-04-14,LAC,,HOU,L,46.35,6,22,0.273,2,9,0.222,0,0,0.0,2,4,6,6,2,1,0,2,14
Grayson Allen,20.0,2024-04-14,PHX,@,MIN,W,32.766666666666666,8,11,0.727,3,3,1.0,1,1,1.0,1,5,6,1,2,0,0,1,20
Patrick Baldwin Jr.,14.3,2024-04-14,WAS,@,BOS,L,33.38333333333333,6,11,0.545,4,7,0.571,1,1,1.0,0,7,7,0,2,1,1,3,17
Brandon Boston,6.9,2024-04-14,LAC,,HOU,L,30.883333333333333,5,16,0.313,2,6,0.333,3,4,0.75,2,4,6,3,4,0,6,3,15
Isaiah Hartenstein,14.9,2024-04-14,NYK,,CHI,W,30.901666666666667,3,4,0.75,0,0,0.0,2,4,0.5,5,8,13,4,2,2,2,2,8
Jaime Jaquez Jr.,17.3,2024-04-14,MIA,,TOR,W,32.31666666666667,6,12,0.5,0,4,0.0,6,7,0.857,0,4,4,5,1,2,1,1,18
Bam Adebayo,16.9,2024-04-14,MIA,,TOR,W,19.483333333333334,8,10,0.8,0,1,0.0,1,1,1.0,3,3,6,2,3,1,4,1,17
Dalano Banton,3.8,2024-04-14,POR,@,SAC,L,38.955,6,26,0.231,0,15,0.0,5,6,0.833,0,3,3,7,3,0,5,2,17
Sam Hauser,10.0,2024-04-14,BOS,,WAS,W,35.266666666666666,6,20,0.3,4,11,0.364,0,0,0.0,1,4,5,2,2,1,0,1,16
D'Angelo Russell,16.3,2024-04-14,LAL,@,NOP,W,37.913333333333334,6,13,0.462,5,10,0.5,2,2,1.0,0,1,1,4,1,1,0,2,19
Mike Conley,16.1,2024-04-14,MIN,,PHX,L,27.433333333333334,5,7,0.714,4,5,0.8,3,3,1.0,1,3,4,2,1,2,3,1,17
Mason Plumlee,7.2,2024-04-14,LAC,,HOU,L,23.9,3,13,0.231,0,3,0.0,3,4,0.75,4,9,13,4,1,2,3,3,9
