Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kobe Bryant,31.0,2011-04-13,LAL,@,SAC,W,38.18333333333333,13,24,0.542,1,2,0.5,9,10,0.9,2,7,9,6,1,1,2,1,36
Blake Griffin,27.6,2011-04-13,LAC,,MEM,W,40.5,13,21,0.619,0,1,0.0,5,7,0.714,3,7,10,10,1,1,4,5,31
Chase Budinger,30.5,2011-04-13,HOU,@,MIN,W,41.15,12,21,0.571,4,8,0.5,7,7,1.0,0,6,6,4,2,0,0,3,35
Marcus Thornton,25.2,2011-04-13,SAC,,LAL,L,45.583333333333336,14,26,0.538,4,9,0.444,1,3,0.333,2,4,6,4,2,0,1,2,33
Michael Beasley,22.0,2011-04-13,MIN,,HOU,L,32.8,13,27,0.481,2,6,0.333,6,6,1.0,2,5,7,2,2,0,3,4,34
Gordon Hayward,29.8,2011-04-13,UTA,,DEN,W,40.516666666666666,12,17,0.706,5,6,0.833,5,5,1.0,0,3,3,4,1,0,1,2,34
Rodney Stuckey,25.7,2011-04-13,DET,@,PHI,W,43.03333333333333,9,15,0.6,1,3,0.333,10,11,0.909,0,4,4,8,2,0,4,2,29
Reggie Williams,25.0,2011-04-13,GSW,,POR,W,48.0,12,18,0.667,4,8,0.5,0,0,0.0,0,7,7,5,1,0,1,2,28
Dorell Wright,17.1,2011-04-13,GSW,,POR,W,36.0,8,21,0.381,3,9,0.333,1,2,0.5,0,5,5,6,4,1,1,1,20
Jordan Farmar,19.5,2011-04-13,NJN,@,CHI,L,38.166666666666664,7,15,0.467,2,6,0.333,5,6,0.833,0,4,4,12,0,2,4,1,21
Eddie House,20.0,2011-04-13,MIA,@,TOR,W,45.016666666666666,14,27,0.519,7,13,0.538,0,0,0.0,0,0,0,1,0,0,2,1,35
Gerald Henderson,22.0,2011-04-13,CHA,,ATL,W,36.983333333333334,9,17,0.529,0,2,0.0,2,2,1.0,1,5,6,6,4,1,0,2,20
Brandon Jennings,17.3,2011-04-13,MIL,@,OKC,W,36.18833333333333,4,11,0.364,1,3,0.333,7,8,0.875,0,6,6,7,5,1,3,4,16
Pau Gasol,17.2,2011-04-13,LAL,@,SAC,W,46.858333333333334,8,16,0.5,0,0,0.0,2,2,1.0,1,12,13,6,1,1,1,5,18
