Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Beasley,28.0,2015-04-15,MIA,@,PHI,W,48.0,12,27,0.444,0,2,0.0,10,11,0.909,2,9,11,8,2,2,3,4,34
Russell Westbrook,30.3,2015-04-15,OKC,@,MIN,W,31.95,11,20,0.55,2,5,0.4,13,17,0.765,0,8,8,7,2,0,4,2,37
Anthony Davis,20.6,2015-04-15,NOP,,SAS,W,43.18333333333333,12,26,0.462,0,0,0.0,7,9,0.778,2,11,13,2,2,3,6,1,31
Marc Gasol,30.5,2015-04-15,MEM,,IND,W,37.695,13,19,0.684,0,0,0.0,7,9,0.778,5,8,13,0,2,1,1,3,33
Dion Waiters,24.9,2015-04-15,OKC,@,MIN,W,35.75,12,23,0.522,5,8,0.625,4,6,0.667,3,1,4,1,3,1,2,2,33
Kyle Lowry,24.8,2015-04-15,TOR,,CHA,W,37.03333333333333,8,15,0.533,6,9,0.667,4,4,1.0,1,3,4,7,3,0,3,1,26
Zach LaVine,21.7,2015-04-15,MIN,,OKC,L,40.678333333333335,6,16,0.375,1,5,0.2,6,6,1.0,0,5,5,13,3,1,2,2,19
Nikola Vučević,20.6,2015-04-15,ORL,@,BKN,L,39.7,12,21,0.571,0,1,0.0,2,4,0.5,1,10,11,5,1,1,2,4,26
Reggie Jackson,23.9,2015-04-15,DET,@,NYK,W,31.5,9,16,0.563,0,3,0.0,6,9,0.667,1,3,4,11,3,0,2,4,24
Cole Aldrich,25.1,2015-04-15,NYK,,DET,L,27.333333333333332,11,16,0.688,0,0,0.0,2,4,0.5,7,8,15,2,0,2,1,1,24
Jabari Brown,20.0,2015-04-15,LAL,,SAC,L,48.0,9,19,0.474,4,6,0.667,10,11,0.909,0,3,3,2,2,0,5,3,32
Enes Freedom,25.1,2015-04-15,OKC,@,MIN,W,33.5,11,17,0.647,0,1,0.0,3,3,1.0,8,7,15,2,0,1,1,3,25
James Harden,16.8,2015-04-15,HOU,,UTA,W,27.45,3,8,0.375,2,5,0.4,8,8,1.0,0,11,11,10,1,1,6,2,16
Tyreke Evans,23.9,2015-04-15,NOP,,SAS,W,34.005,9,15,0.6,1,2,0.5,0,0,0.0,1,3,4,11,3,1,0,3,19
Ben McLemore,21.2,2015-04-15,SAC,@,LAL,W,39.86666666666667,9,18,0.5,2,7,0.286,4,6,0.667,0,5,5,7,2,0,1,1,24
Aaron Brooks,17.5,2015-04-15,CHI,,ATL,W,32.833333333333336,8,18,0.444,2,5,0.4,5,5,1.0,0,6,6,3,4,0,4,0,23
Tyson Chandler,24.9,2015-04-15,DAL,,POR,W,24.733333333333334,5,7,0.714,0,0,0.0,12,15,0.8,3,12,15,0,1,1,0,1,22
Matthew Dellavedova,20.2,2015-04-15,CLE,,WAS,W,32.733333333333334,6,11,0.545,4,5,0.8,2,2,1.0,0,3,3,12,2,0,3,2,18
JaKarr Sampson,17.5,2015-04-15,PHI,,MIA,L,35.3,8,15,0.533,0,5,0.0,6,7,0.857,1,4,5,6,3,1,5,4,22
James Ennis III,10.6,2015-04-15,MIA,@,PHI,W,48.0,7,20,0.35,2,7,0.286,1,2,0.5,3,9,12,6,1,0,4,2,17
George Hill,16.6,2015-04-15,IND,@,MEM,L,38.278333333333336,9,16,0.563,2,6,0.333,0,0,0.0,1,4,5,6,2,1,3,4,20
CJ Miles,17.1,2015-04-15,IND,@,MEM,L,33.281666666666666,10,22,0.455,5,12,0.417,1,1,1.0,0,2,2,0,2,1,0,2,26
Pau Gasol,10.5,2015-04-15,CHI,,ATL,W,37.13333333333333,6,15,0.4,0,0,0.0,6,8,0.75,2,11,13,1,1,2,6,1,18
Jimmy Butler III,19.8,2015-04-15,CHI,,ATL,W,40.483333333333334,6,14,0.429,2,2,1.0,7,9,0.778,1,5,6,3,2,1,0,0,21
Andrew Wiggins,19.5,2015-04-15,MIN,,OKC,L,37.68333333333333,6,12,0.5,0,2,0.0,11,13,0.846,2,4,6,3,1,2,3,2,23
