Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Patty Mills,30.1,2012-04-26,SAS,@,GSW,W,42.85,14,25,0.56,4,10,0.4,2,2,1.0,2,3,5,12,1,1,4,1,34
DeMarcus Cousins,20.8,2012-04-26,SAC,,LAL,W,37.78333333333333,9,19,0.474,0,1,0.0,5,7,0.714,8,11,19,2,1,0,1,5,23
Ben Uzoh,15.9,2012-04-26,TOR,,NJN,W,46.233333333333334,6,19,0.316,0,0,0.0,0,0,0.0,4,7,11,12,4,1,2,3,12
Ben Gordon,24.3,2012-04-26,DET,,PHI,W,22.265,9,13,0.692,8,10,0.8,0,0,0.0,0,2,2,5,0,1,1,0,26
Ed Davis,21.2,2012-04-26,TOR,,NJN,W,43.25,10,15,0.667,0,0,0.0,4,5,0.8,4,8,12,2,1,1,3,3,24
Josh Smith,23.6,2012-04-26,ATL,,DAL,W,28.325,10,14,0.714,0,1,0.0,3,4,0.75,2,7,9,7,1,0,1,4,23
Gary Forbes,14.8,2012-04-26,TOR,,NJN,W,40.61666666666667,8,21,0.381,5,9,0.556,2,4,0.5,0,6,6,3,2,0,1,2,23
Chris Wright,23.0,2012-04-26,GSW,,SAS,L,46.31666666666667,11,14,0.786,0,0,0.0,3,4,0.75,1,7,8,0,1,2,1,1,25
Jason Thompson,21.4,2012-04-26,SAC,,LAL,W,35.61666666666667,7,11,0.636,0,0,0.0,3,4,0.75,3,7,10,3,2,2,0,0,17
DeJuan Blair,18.3,2012-04-26,SAS,@,GSW,W,38.5,10,19,0.526,0,0,0.0,2,2,1.0,3,10,13,1,1,0,0,3,22
JR Smith,20.3,2012-04-26,NYK,@,CHA,W,35.68333333333333,10,16,0.625,1,3,0.333,1,2,0.5,0,3,3,6,3,0,1,3,22
John Lucas III,22.8,2012-04-26,CHI,,CLE,W,27.466666666666665,10,16,0.625,3,7,0.429,2,2,1.0,0,2,2,4,2,0,0,1,25
JJ Hickson,15.8,2012-04-26,POR,@,UTA,L,38.56666666666667,10,13,0.769,0,0,0.0,0,2,0.0,2,7,9,0,2,2,4,3,20
Jeremy Evans,18.7,2012-04-26,UTA,,POR,W,28.066666666666666,5,9,0.556,0,1,0.0,3,4,0.75,6,4,10,1,3,3,0,2,13
Solomon Alabi,14.2,2012-04-26,TOR,,NJN,W,40.28333333333333,3,10,0.3,0,0,0.0,5,6,0.833,5,14,19,0,0,3,0,1,11
Chase Budinger,15.4,2012-04-26,HOU,,NOH,W,42.06666666666667,10,18,0.556,5,9,0.556,2,3,0.667,0,4,4,0,0,0,3,2,27
Jonny Flynn,17.2,2012-04-26,POR,@,UTA,L,33.8,6,14,0.429,1,3,0.333,5,5,1.0,1,4,5,11,0,0,3,0,18
Marc Gasol,18.5,2012-04-26,MEM,,ORL,W,31.808333333333334,8,13,0.615,0,1,0.0,6,6,1.0,0,6,6,1,0,3,1,3,22
James Anderson,13.6,2012-04-26,SAS,@,GSW,W,40.2,7,17,0.412,1,5,0.2,4,5,0.8,5,2,7,3,1,1,3,2,19
Taj Gibson,14.5,2012-04-26,CHI,,CLE,W,30.5,4,6,0.667,0,0,0.0,2,2,1.0,2,10,12,3,0,4,1,3,10
O.J. Mayo,15.9,2012-04-26,MEM,,ORL,W,27.35,5,9,0.556,1,3,0.333,4,4,1.0,1,6,7,6,1,1,2,3,15
Josh Harrellson,16.3,2012-04-26,NYK,@,CHA,W,29.866666666666667,8,12,0.667,2,3,0.667,0,0,0.0,2,7,9,0,0,2,1,1,18
Alan Anderson,11.8,2012-04-26,TOR,,NJN,W,45.18333333333333,6,16,0.375,5,9,0.556,3,3,1.0,1,3,4,4,0,0,3,2,20
Nikola Pekovic,17.5,2012-04-26,MIN,,DEN,L,25.476666666666667,8,12,0.667,0,0,0.0,2,5,0.4,5,5,10,0,1,1,0,2,18
Darryl Watkins,9.8,2012-04-26,NOH,@,HOU,L,42.03333333333333,3,6,0.5,0,0,0.0,7,13,0.538,1,9,10,1,3,1,4,4,13
Goran Dragic,12.1,2012-04-26,HOU,,NOH,W,35.083333333333336,3,10,0.3,0,5,0.0,2,2,1.0,2,3,5,13,2,1,3,3,8
Charles Jenkins,17.3,2012-04-26,GSW,,SAS,L,26.0,8,13,0.615,0,0,0.0,0,0,0.0,0,3,3,7,3,0,0,4,16
Justin Harper,10.4,2012-04-26,ORL,@,MEM,L,32.45,7,18,0.389,2,8,0.25,0,1,0.0,3,4,7,1,1,2,1,2,16
Gerald Henderson,17.1,2012-04-26,CHA,,NYK,L,36.95,7,12,0.583,0,1,0.0,7,10,0.7,1,6,7,4,0,0,2,1,21
Rudy Gay,15.9,2012-04-26,MEM,,ORL,W,33.766666666666666,8,11,0.727,1,4,0.25,3,4,0.75,0,5,5,0,2,1,3,1,20
Josh McRoberts,13.1,2012-04-26,LAL,@,SAC,L,37.71666666666667,6,12,0.5,2,3,0.667,2,2,1.0,2,7,9,4,0,0,2,3,16
Joakim Noah,14.9,2012-04-26,CHI,,CLE,W,30.933333333333334,6,11,0.545,0,0,0.0,1,2,0.5,3,9,12,3,0,1,0,0,13
Amar'e Stoudemire,15.6,2012-04-26,NYK,@,CHA,W,24.0,9,15,0.6,0,0,0.0,3,5,0.6,0,2,2,3,0,2,1,2,21
Nolan Smith,13.9,2012-04-26,POR,@,UTA,L,35.483333333333334,6,12,0.5,1,3,0.333,3,4,0.75,1,1,2,7,2,0,2,4,16
Klay Thompson,9.3,2012-04-26,GSW,,SAS,L,29.45,6,16,0.375,2,7,0.286,3,4,0.75,0,5,5,6,0,0,3,3,17
Enes Freedom,11.9,2012-04-26,UTA,,POR,W,33.61833333333333,4,8,0.5,0,0,0.0,4,7,0.571,3,7,10,1,1,2,1,3,12
Tristan Thompson,11.4,2012-04-26,CLE,@,CHI,L,30.166666666666668,4,11,0.364,0,1,0.0,5,8,0.625,6,6,12,0,1,1,2,0,13
Nene,14.9,2012-04-26,WAS,,MIA,W,18.916666666666668,6,7,0.857,0,0,0.0,3,5,0.6,1,6,7,3,0,2,2,2,15
Jeff Teague,17.2,2012-04-26,ATL,,DAL,W,28.35,7,11,0.636,3,4,0.75,0,0,0.0,0,2,2,5,1,0,0,0,17
Tyreke Evans,14.4,2012-04-26,SAC,,LAL,W,31.2,9,14,0.643,0,1,0.0,3,4,0.75,1,3,4,2,1,0,4,0,21
Jeremy Tyler,6.1,2012-04-26,GSW,,SAS,L,43.61666666666667,7,19,0.368,0,1,0.0,2,3,0.667,5,4,9,0,1,1,5,1,16
J.J. Barea,12.7,2012-04-26,MIN,,DEN,L,30.916666666666668,7,13,0.538,3,6,0.5,3,4,0.75,0,1,1,5,0,0,4,1,20
Zach Randolph,11.3,2012-04-26,MEM,,ORL,W,26.083333333333332,6,12,0.5,0,0,0.0,1,2,0.5,6,6,12,3,0,0,3,1,13
Earl Clark,6.9,2012-04-26,ORL,@,MEM,L,37.96666666666667,3,11,0.273,0,0,0.0,2,2,1.0,1,8,9,1,1,4,1,3,8
Kurt Thomas,13.6,2012-04-26,POR,@,UTA,L,26.316666666666666,5,7,0.714,0,0,0.0,0,0,0.0,0,6,6,4,3,1,1,2,10
Jan Vesely,14.3,2012-04-26,WAS,,MIA,W,23.483333333333334,5,7,0.714,0,0,0.0,1,2,0.5,2,6,8,1,3,1,1,0,11
Armon Johnson,12.2,2012-04-26,NJN,@,TOR,L,33.733333333333334,3,10,0.3,1,3,0.333,4,4,1.0,1,2,3,5,4,0,1,2,11
Danilo Gallinari,19.1,2012-04-26,DEN,@,MIN,W,27.0,5,7,0.714,0,0,0.0,7,8,0.875,0,3,3,4,1,1,0,0,17
Ty Lawson,17.2,2012-04-26,DEN,@,MIN,W,25.466666666666665,7,10,0.7,1,3,0.333,0,1,0.0,2,2,4,4,2,0,0,0,15
Tobias Harris,8.7,2012-04-26,MIL,@,BOS,L,35.8,7,13,0.538,0,1,0.0,2,2,1.0,1,8,9,3,0,0,5,3,16
Arron Afflalo,13.3,2012-04-26,DEN,@,MIN,W,29.5,7,12,0.583,3,3,1.0,1,1,1.0,1,3,4,1,1,0,2,1,18
Mickell Gladness,15.0,2012-04-26,GSW,,SAS,L,38.71666666666667,7,10,0.7,0,0,0.0,0,0,0.0,2,7,9,2,0,1,0,1,14
Rodrigue Beaubois,9.0,2012-04-26,DAL,@,ATL,L,33.56666666666667,5,12,0.417,1,3,0.333,2,2,1.0,1,4,5,6,0,1,4,1,13
Dirk Nowitzki,13.2,2012-04-26,DAL,@,ATL,L,26.156666666666666,7,12,0.583,1,1,1.0,7,7,1.0,0,3,3,1,0,0,4,2,22
Hedo Turkoglu,11.6,2012-04-26,ORL,@,MEM,L,29.583333333333332,7,13,0.538,4,9,0.444,0,0,0.0,0,2,2,1,1,0,2,1,18
Al-Farouq Aminu,6.6,2012-04-26,NOH,@,HOU,L,43.53333333333333,4,13,0.308,2,3,0.667,1,3,0.333,0,10,10,3,0,0,0,3,11
Greg Monroe,12.7,2012-04-26,DET,,PHI,W,25.733333333333334,4,7,0.571,0,0,0.0,0,0,0.0,3,4,7,3,4,0,1,1,8
Jordan Hill,5.9,2012-04-26,LAL,@,SAC,L,29.716666666666665,4,12,0.333,0,0,0.0,0,0,0.0,2,6,8,2,3,1,2,4,8
Spencer Hawes,13.5,2012-04-26,PHI,@,DET,L,25.616666666666667,8,13,0.615,0,0,0.0,0,0,0.0,2,5,7,1,1,0,0,3,16
Jon Leuer,12.4,2012-04-26,MIL,@,BOS,L,29.566666666666666,7,11,0.636,1,1,1.0,0,2,0.0,3,5,8,0,0,1,0,3,15
Kirk Hinrich,10.5,2012-04-26,ATL,,DAL,W,36.40833333333333,5,11,0.455,2,6,0.333,0,0,0.0,0,5,5,3,2,0,1,1,12
JaVale McGee,13.8,2012-04-26,DEN,@,MIN,W,18.2,9,12,0.75,0,0,0.0,1,1,1.0,0,5,5,0,0,1,1,4,19
Charlie Villanueva,8.6,2012-04-26,DET,,PHI,W,17.566666666666666,4,11,0.364,3,7,0.429,0,0,0.0,1,6,7,1,1,1,0,3,11
Jerome Dyson,6.6,2012-04-26,NOH,@,HOU,L,41.2,6,14,0.429,0,3,0.0,3,6,0.5,1,1,2,1,3,1,4,3,15
Dominic McGuire,7.4,2012-04-26,GSW,,SAS,L,26.866666666666667,5,11,0.455,0,0,0.0,1,1,1.0,0,3,3,8,2,0,6,1,11
Alec Burks,14.8,2012-04-26,UTA,,POR,W,22.533333333333335,6,9,0.667,1,1,1.0,5,5,1.0,0,3,3,0,2,0,1,3,18
