Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephen Curry,39.9,2010-04-14,GSW,@,POR,W,48.0,13,25,0.52,4,6,0.667,12,12,1.0,3,6,9,8,2,1,2,0,42
DeJuan Blair,28.4,2010-04-14,SAS,@,DAL,L,36.68333333333333,12,21,0.571,0,0,0.0,3,4,0.75,8,15,23,4,3,0,3,3,27
David West,30.5,2010-04-14,NOH,@,HOU,W,43.333333333333336,16,20,0.8,0,0,0.0,3,3,1.0,0,10,10,6,1,1,5,2,35
Kevin Durant,28.2,2010-04-14,OKC,,MEM,W,37.88333333333333,12,18,0.667,2,3,0.667,5,5,1.0,1,6,7,4,2,3,4,1,31
Trevor Ariza,25.8,2010-04-14,HOU,,NOH,L,38.266666666666666,11,18,0.611,3,7,0.429,1,4,0.25,2,8,10,10,0,2,3,0,26
Steve Blake,24.9,2010-04-14,LAC,,LAL,W,41.666666666666664,8,12,0.667,4,6,0.667,3,4,0.75,0,10,10,11,2,0,4,3,23
Michael Beasley,15.8,2010-04-14,MIA,,NJN,W,34.7,10,24,0.417,0,0,0.0,5,5,1.0,4,9,13,2,2,3,5,6,25
Monta Ellis,25.3,2010-04-14,GSW,@,POR,W,48.0,14,24,0.583,4,8,0.5,2,6,0.333,0,4,4,3,2,0,0,3,34
Jeff Teague,21.9,2010-04-14,ATL,,CLE,W,48.0,11,19,0.579,1,4,0.25,1,2,0.5,0,5,5,15,1,0,5,2,24
Rajon Rondo,21.7,2010-04-14,BOS,,MIL,L,31.983333333333334,7,14,0.5,0,2,0.0,7,12,0.583,2,4,6,15,1,0,4,1,21
Andray Blatche,22.9,2010-04-14,WAS,,IND,W,28.883333333333333,11,19,0.579,0,2,0.0,4,5,0.8,1,6,7,3,4,0,2,1,26
Chris Kaman,19.8,2010-04-14,LAC,,LAL,W,35.78333333333333,8,16,0.5,0,0,0.0,6,8,0.75,1,6,7,2,1,5,1,2,22
Andrea Bargnani,20.7,2010-04-14,TOR,,NYK,W,33.61666666666667,9,15,0.6,2,4,0.5,4,4,1.0,0,4,4,5,1,3,3,3,24
Yi Jianlian,16.4,2010-04-14,NJN,@,MIA,L,49.56166666666667,7,17,0.412,0,2,0.0,9,11,0.818,6,9,15,0,0,2,3,5,23
Derrick Rose,19.9,2010-04-14,CHI,@,CHA,W,42.98833333333334,10,19,0.526,2,4,0.5,5,6,0.833,2,0,2,5,2,1,5,0,27
Henry Walker,21.3,2010-04-14,NYK,@,TOR,L,35.18333333333333,8,17,0.471,6,10,0.6,6,7,0.857,2,5,7,1,0,0,0,3,28
Al Jefferson,16.6,2010-04-14,MIN,,DET,L,37.93333333333333,8,15,0.533,0,0,0.0,0,0,0.0,2,9,11,4,1,4,2,2,16
Anthony Tolliver,19.1,2010-04-14,GSW,@,POR,W,48.0,7,12,0.583,0,1,0.0,5,9,0.556,4,11,15,3,1,1,1,4,19
Pau Gasol,19.8,2010-04-14,LAL,@,LAC,L,27.666666666666668,7,14,0.5,0,0,0.0,4,6,0.667,7,10,17,2,1,1,1,1,18
Darren Collison,22.8,2010-04-14,NOH,@,HOU,W,46.3,11,17,0.647,2,4,0.5,2,2,1.0,0,2,2,11,0,0,4,0,26
Joakim Noah,18.1,2010-04-14,CHI,@,CHA,W,37.655,7,11,0.636,0,0,0.0,7,9,0.778,3,10,13,4,0,1,5,2,21
Roy Hibbert,23.6,2010-04-14,IND,@,WAS,L,28.873333333333335,10,16,0.625,0,0,0.0,9,11,0.818,2,5,7,0,1,1,0,5,29
David Lee,14.6,2010-04-14,NYK,@,TOR,L,32.9,8,17,0.471,0,0,0.0,3,3,1.0,6,5,11,5,1,1,5,4,19
Rudy Gay,18.3,2010-04-14,MEM,@,OKC,L,43.45,9,21,0.429,0,2,0.0,7,9,0.778,1,4,5,3,3,0,1,2,25
DeMar DeRozan,21.7,2010-04-14,TOR,,NYK,W,37.88333333333333,9,11,0.818,0,0,0.0,6,8,0.75,0,9,9,2,1,1,2,3,24
Devean George,13.4,2010-04-14,GSW,@,POR,W,42.28333333333333,6,15,0.4,4,10,0.4,0,0,0.0,1,7,8,3,4,0,1,6,16
Deron Williams,14.6,2010-04-14,UTA,,PHX,L,37.61666666666667,5,17,0.294,2,6,0.333,12,14,0.857,2,3,5,6,1,0,5,3,24
Marreese Speights,21.2,2010-04-14,PHI,@,ORL,L,23.1,9,14,0.643,0,0,0.0,5,5,1.0,4,4,8,0,1,2,0,5,23
Mehmet Okur,15.5,2010-04-14,UTA,,PHX,L,32.416666666666664,9,14,0.643,3,4,0.75,0,0,0.0,0,11,11,0,0,0,1,4,21
Caron Butler,18.2,2010-04-14,DAL,,SAS,W,38.95,7,12,0.583,0,0,0.0,6,8,0.75,2,3,5,2,3,1,2,2,20
Kevin Martin,18.8,2010-04-14,HOU,,NOH,L,37.516666666666666,8,14,0.571,1,3,0.333,7,8,0.875,0,4,4,2,2,0,2,2,24
Corey Brewer,21.1,2010-04-14,MIN,,DET,L,35.31666666666667,10,15,0.667,2,5,0.4,5,6,0.833,2,0,2,4,0,0,2,3,27
Danilo Gallinari,10.4,2010-04-14,NYK,@,TOR,L,37.46666666666667,6,18,0.333,5,12,0.417,5,8,0.625,1,3,4,2,1,0,3,3,22
Zach Randolph,16.3,2010-04-14,MEM,@,OKC,L,41.135,8,16,0.5,0,0,0.0,5,7,0.714,3,8,11,0,1,0,1,1,21
Brendan Haywood,12.3,2010-04-14,DAL,,SAS,W,27.983333333333334,3,6,0.5,0,0,0.0,2,5,0.4,5,10,15,1,0,5,1,3,8
Serge Ibaka,15.9,2010-04-14,OKC,,MEM,W,32.223333333333336,4,7,0.571,0,0,0.0,7,10,0.7,3,6,9,0,0,5,0,5,15
JaVale McGee,11.3,2010-04-14,WAS,,IND,W,28.881666666666668,5,10,0.5,0,0,0.0,4,6,0.667,0,8,8,0,3,3,2,6,14
Tyrus Thomas,14.6,2010-04-14,CHA,,CHI,L,26.553333333333335,5,12,0.417,0,0,0.0,6,7,0.857,2,7,9,1,2,2,1,3,16
Jeff Ayres,20.1,2010-04-14,POR,,GSW,L,29.15,11,15,0.733,0,0,0.0,1,1,1.0,2,2,4,1,2,1,1,3,23
Travis Outlaw,13.1,2010-04-14,LAC,,LAL,W,31.5,6,14,0.429,1,3,0.333,1,2,0.5,4,6,10,2,2,1,1,2,14
Amir Johnson,20.8,2010-04-14,TOR,,NYK,W,40.06666666666667,9,13,0.692,0,1,0.0,3,3,1.0,2,3,5,3,1,1,0,2,21
Sonny Weems,16.9,2010-04-14,TOR,,NYK,W,33.31666666666667,9,12,0.75,0,0,0.0,0,0,0.0,0,5,5,4,3,0,2,4,18
Channing Frye,13.8,2010-04-14,PHX,@,UTA,W,29.25,6,13,0.462,3,8,0.375,0,0,0.0,1,5,6,1,2,2,0,2,15
Marcus Thornton,18.3,2010-04-14,NOH,@,HOU,W,31.95,8,12,0.667,2,3,0.667,2,3,0.667,0,1,1,6,2,0,1,4,20
Lamar Odom,16.3,2010-04-14,LAL,@,LAC,L,31.433333333333334,7,12,0.583,0,1,0.0,7,9,0.778,3,5,8,2,0,1,2,5,21
Jameer Nelson,17.8,2010-04-14,ORL,,PHI,W,25.85,9,13,0.692,3,5,0.6,0,0,0.0,0,3,3,4,1,0,2,1,21
Jonas Jerebko,12.6,2010-04-14,DET,@,MIN,W,43.516666666666666,5,10,0.5,0,1,0.0,2,4,0.5,5,8,13,1,3,0,2,3,12
Eric Maynor,18.5,2010-04-14,OKC,,MEM,W,28.583333333333332,6,8,0.75,2,3,0.667,1,1,1.0,0,5,5,10,0,0,1,2,15
Dwight Howard,12.5,2010-04-14,ORL,,PHI,W,29.416666666666668,6,8,0.75,0,0,0.0,3,5,0.6,1,11,12,2,0,1,3,4,15
Jason Kidd,13.8,2010-04-14,DAL,,SAS,W,28.4,5,12,0.417,3,5,0.6,5,5,1.0,1,6,7,3,0,0,2,1,18
Charlie Villanueva,13.3,2010-04-14,DET,@,MIN,W,24.875,4,10,0.4,3,6,0.5,5,5,1.0,0,2,2,1,2,2,0,5,16
Jamario Moon,11.4,2010-04-14,CLE,@,ATL,L,30.983333333333334,7,13,0.538,1,3,0.333,0,2,0.0,2,5,7,1,2,1,2,2,15
Dirk Nowitzki,11.4,2010-04-14,DAL,,SAS,W,33.093333333333334,8,20,0.4,1,2,0.5,2,2,1.0,0,5,5,5,0,0,1,2,19
Amar'e Stoudemire,14.7,2010-04-14,PHX,@,UTA,W,32.05,6,12,0.5,0,0,0.0,8,9,0.889,1,6,7,1,0,1,2,2,20
Luke Ridnour,19.6,2010-04-14,MIL,@,BOS,W,26.483333333333334,6,6,1.0,3,3,1.0,2,2,1.0,0,2,2,8,0,0,1,2,17
Vince Carter,18.9,2010-04-14,ORL,,PHI,W,25.433333333333334,6,8,0.75,4,5,0.8,1,1,1.0,1,2,3,6,0,0,0,1,17
Courtney Lee,11.4,2010-04-14,NJN,@,MIA,L,51.38333333333333,5,16,0.313,3,8,0.375,4,4,1.0,2,4,6,2,1,0,1,1,17
Nicolas Batum,9.9,2010-04-14,POR,,GSW,L,38.016666666666666,5,12,0.417,2,6,0.333,0,2,0.0,1,11,12,3,0,0,1,0,12
O.J. Mayo,10.9,2010-04-14,MEM,@,OKC,L,36.681666666666665,6,16,0.375,1,5,0.2,4,5,0.8,1,5,6,5,0,0,1,4,17
Mario Chalmers,10.2,2010-04-14,MIA,,NJN,W,42.13333333333333,6,15,0.4,3,9,0.333,0,0,0.0,1,1,2,7,1,0,2,4,15
Jerry Stackhouse,14.2,2010-04-14,MIL,@,BOS,W,27.763333333333332,7,11,0.636,3,5,0.6,0,2,0.0,0,5,5,4,0,0,1,1,17
Danny Granger,5.7,2010-04-14,IND,@,WAS,L,32.96666666666667,4,16,0.25,1,5,0.2,8,8,1.0,2,7,9,2,0,0,5,4,17
