Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shaquille O'Neal,27.9,1998-04-19,LAL,,UTA,W,39.733333333333334,10,21,0.476,0,0,0.0,13,20,0.65,3,12,15,3,1,4,2,3,33
Tony Massenburg,27.9,1998-04-19,VAN,@,SAC,W,43.6,13,27,0.481,0,0,0.0,8,8,1.0,7,5,12,1,2,1,1,3,34
Jason Kidd,30.6,1998-04-19,PHX,@,HOU,W,36.4,13,17,0.765,1,2,0.5,0,0,0.0,2,6,8,7,4,0,1,2,27
Allen Iverson,26.4,1998-04-19,PHI,@,TOR,W,36.861666666666665,13,21,0.619,0,1,0.0,0,1,0.0,3,5,8,6,4,1,1,3,26
Clifford Robinson,29.3,1998-04-19,PHX,@,HOU,W,34.85,14,21,0.667,0,2,0.0,4,5,0.8,2,5,7,0,4,1,0,2,32
Marcus Camby,14.0,1998-04-19,TOR,,PHI,L,30.12,6,16,0.375,0,0,0.0,1,4,0.25,5,6,11,1,1,10,1,5,13
Kerry Kittles,19.4,1998-04-19,NJN,,DET,W,47.05,8,20,0.4,2,6,0.333,4,4,1.0,4,7,11,5,2,0,1,3,22
Karl Malone,19.8,1998-04-19,UTA,@,LAL,L,32.833333333333336,9,21,0.429,0,0,0.0,9,12,0.75,3,6,9,3,1,1,1,4,27
Steven Smith,27.4,1998-04-19,ATL,,MIA,W,38.416666666666664,9,15,0.6,2,3,0.667,10,11,0.909,1,1,2,3,3,0,1,1,30
Derrick Coleman,17.4,1998-04-19,PHI,@,TOR,W,31.97833333333333,8,21,0.381,0,2,0.0,4,7,0.571,7,8,15,5,0,1,1,1,20
Sherman Douglas,18.8,1998-04-19,NJN,,DET,W,47.37,8,12,0.667,0,0,0.0,2,4,0.5,2,1,3,11,5,0,6,4,18
Kendall Gill,26.7,1998-04-19,NJN,,DET,W,36.053333333333335,9,12,0.75,0,0,0.0,9,9,1.0,3,2,5,0,5,0,2,3,27
Shareef Abdur-Rahim,19.6,1998-04-19,VAN,@,SAC,W,42.733333333333334,9,16,0.563,0,1,0.0,5,5,1.0,2,4,6,2,3,2,3,3,23
Grant Hill,10.9,1998-04-19,DET,@,NJN,L,40.086666666666666,7,14,0.5,0,1,0.0,7,10,0.7,2,10,12,7,0,0,10,3,21
Kobe Bryant,19.0,1998-04-19,LAL,,UTA,W,36.71666666666667,10,19,0.526,1,5,0.2,4,6,0.667,1,1,2,3,2,2,2,1,25
Tariq Abdul-Wahad,26.4,1998-04-19,SAC,,VAN,L,39.53333333333333,12,17,0.706,1,1,1.0,6,7,0.857,1,1,2,3,1,0,0,3,31
Brian Grant,20.3,1998-04-19,POR,,SEA,L,42.5,6,8,0.75,0,0,0.0,2,2,1.0,8,9,17,3,1,1,1,4,14
Glen Rice,16.9,1998-04-19,CHH,,ORL,W,39.13333333333333,11,25,0.44,0,4,0.0,4,4,1.0,2,2,4,4,2,0,2,2,26
Will Perdue,18.2,1998-04-19,SAS,,DEN,W,33.983333333333334,5,7,0.714,0,0,0.0,2,2,1.0,5,12,17,4,0,2,1,3,12
Damon Stoudamire,10.3,1998-04-19,POR,,SEA,L,43.84,6,18,0.333,1,4,0.25,0,0,0.0,1,3,4,9,5,0,5,1,13
Kevin Willis,18.6,1998-04-19,HOU,,PHX,L,27.1,8,12,0.667,0,0,0.0,5,6,0.833,5,5,10,1,1,1,3,3,21
Vin Baker,11.2,1998-04-19,SEA,@,POR,W,39.093333333333334,8,19,0.421,0,0,0.0,4,10,0.4,6,4,10,0,2,1,4,1,20
Tim Duncan,22.1,1998-04-19,SAS,,DEN,W,33.221666666666664,12,16,0.75,0,0,0.0,1,2,0.5,2,5,7,4,0,0,1,2,25
Keith Van Horn,15.9,1998-04-19,NJN,,DET,W,43.74333333333333,10,20,0.5,1,3,0.333,4,4,1.0,2,2,4,4,0,1,3,4,25
Gary Payton,20.8,1998-04-19,SEA,@,POR,W,40.233333333333334,12,19,0.632,2,5,0.4,1,1,1.0,0,3,3,4,0,0,1,1,27
Jerry Stackhouse,17.7,1998-04-19,DET,@,NJN,L,29.813333333333333,5,10,0.5,0,2,0.0,10,13,0.769,1,1,2,7,3,0,3,5,20
Doug Christie,12.8,1998-04-19,TOR,,PHI,L,31.383333333333333,5,14,0.357,2,4,0.5,4,4,1.0,0,5,5,4,3,1,3,1,16
Derek Strong,17.6,1998-04-19,ORL,@,CHH,L,34.1,8,15,0.533,0,0,0.0,5,6,0.833,7,5,12,1,0,0,2,2,21
Vlade Divac,9.2,1998-04-19,CHH,,ORL,W,40.7,5,11,0.455,0,0,0.0,0,0,0.0,5,6,11,6,1,2,5,5,10
Isaiah Rider,12.0,1998-04-19,POR,,SEA,L,45.06666666666667,11,23,0.478,2,7,0.286,0,1,0.0,2,5,7,0,0,0,2,2,24
