Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephen Curry,29.5,2021-05-16,GSW,,MEM,W,39.95,16,36,0.444,9,22,0.409,5,6,0.833,1,6,7,9,1,1,7,2,46
Jordan Nwora,28.4,2021-05-16,MIL,@,CHI,L,35.88333333333333,14,23,0.609,4,8,0.5,2,4,0.5,4,10,14,0,2,3,3,3,34
Moses Brown,31.1,2021-05-16,OKC,,LAC,W,37.85,12,19,0.632,0,0,0.0,0,0,0.0,8,10,18,3,0,7,0,0,24
Domantas Sabonis,22.5,2021-05-16,IND,@,TOR,W,39.25,12,18,0.667,1,2,0.5,0,0,0.0,3,13,16,5,3,0,6,3,25
Russell Westbrook,22.8,2021-05-16,WAS,,CHA,W,40.18333333333333,6,15,0.4,2,8,0.25,9,12,0.75,3,12,15,10,1,0,3,4,23
Cole Anthony,21.9,2021-05-16,ORL,@,PHI,L,37.833333333333336,10,25,0.4,3,9,0.333,14,14,1.0,2,6,8,2,1,0,6,3,37
Tyrese Maxey,26.5,2021-05-16,PHI,,ORL,W,34.86666666666667,11,19,0.579,3,4,0.75,5,5,1.0,0,7,7,6,1,1,1,4,30
Oshae Brissett,26.9,2021-05-16,IND,@,TOR,W,36.1,10,16,0.625,5,8,0.625,6,9,0.667,1,9,10,3,0,0,0,3,31
Terry Rozier,22.9,2021-05-16,CHA,@,WAS,L,37.4,8,19,0.421,3,6,0.5,3,3,1.0,2,7,9,9,3,0,1,2,22
Jonas Valančiūnas,30.0,2021-05-16,MEM,@,GSW,L,35.5,12,15,0.8,0,0,0.0,5,6,0.833,6,10,16,1,1,0,1,2,29
Jordan Clarkson,24.3,2021-05-16,UTA,@,SAC,W,32.35,11,20,0.55,6,12,0.5,5,5,1.0,1,1,2,3,2,0,3,3,33
Onyeka Okongwu,25.7,2021-05-16,ATL,,HOU,W,32.9,10,13,0.769,0,0,0.0,1,3,0.333,6,9,15,3,2,2,1,2,21
Malachi Flynn,19.4,2021-05-16,TOR,,IND,L,45.61666666666667,8,22,0.364,5,13,0.385,6,6,1.0,0,4,4,5,2,1,2,2,27
Jevon Carter,18.7,2021-05-16,PHX,@,SAS,W,42.53333333333333,9,22,0.409,1,6,0.167,0,0,0.0,3,7,10,9,3,0,2,0,19
Kevin Durant,27.9,2021-05-16,BKN,,CLE,W,28.916666666666668,8,10,0.8,1,2,0.5,6,6,1.0,0,8,8,13,0,0,2,2,23
D'Angelo Russell,21.4,2021-05-16,MIN,,DAL,W,35.68333333333333,8,19,0.421,3,9,0.333,4,5,0.8,0,3,3,10,3,0,2,0,23
Aleksej Pokusevski,15.7,2021-05-16,OKC,,LAC,W,40.916666666666664,10,19,0.526,6,9,0.667,3,4,0.75,0,8,8,2,0,0,7,1,29
Jeff Teague,24.0,2021-05-16,MIL,@,CHI,L,33.63333333333333,5,11,0.455,3,3,1.0,10,12,0.833,0,3,3,7,3,1,2,0,23
Nemanja Bjelica,21.0,2021-05-16,MIA,@,DET,W,37.93333333333333,8,13,0.615,4,6,0.667,1,2,0.5,2,4,6,6,2,1,2,3,21
Anthony Edwards,22.1,2021-05-16,MIN,,DAL,W,38.21666666666667,10,21,0.476,5,9,0.556,5,5,1.0,0,0,0,4,0,2,1,1,30
Stanley Johnson,16.2,2021-05-16,TOR,,IND,L,43.2,6,18,0.333,3,12,0.25,9,11,0.818,3,2,5,7,2,0,6,1,24
Jusuf Nurkić,20.1,2021-05-16,POR,,DEN,W,20.366666666666667,8,10,0.8,1,1,1.0,3,6,0.5,4,9,13,2,1,2,3,3,20
Karl-Anthony Towns,22.2,2021-05-16,MIN,,DAL,W,31.176666666666666,6,12,0.5,1,4,0.25,10,11,0.909,2,7,9,5,2,0,1,6,23
T.J. McConnell,21.1,2021-05-16,IND,@,TOR,W,39.63333333333333,6,10,0.6,0,2,0.0,0,0,0.0,1,4,5,17,2,1,2,2,12
Damian Lillard,18.8,2021-05-16,POR,,DEN,W,31.216666666666665,7,13,0.538,5,9,0.556,3,3,1.0,0,3,3,10,0,0,4,2,22
Kyrie Irving,18.2,2021-05-16,BKN,,CLE,W,28.916666666666668,7,11,0.636,3,3,1.0,0,0,0.0,0,6,6,2,3,3,1,3,17
LeBron James,19.5,2021-05-16,LAL,@,NOP,W,27.466666666666665,11,22,0.5,2,5,0.4,1,2,0.5,1,0,1,6,3,0,2,0,25
Julius Randle,12.8,2021-05-16,NYK,,BOS,W,37.47666666666667,5,17,0.294,2,5,0.4,8,10,0.8,0,7,7,7,1,1,4,3,20
Bradley Beal,10.3,2021-05-16,WAS,,CHA,W,34.61,8,27,0.296,3,11,0.273,6,7,0.857,1,5,6,4,1,0,3,4,25
Precious Achiuwa,17.9,2021-05-16,MIA,@,DET,W,41.56666666666667,10,16,0.625,0,0,0.0,3,7,0.429,3,7,10,0,2,1,2,3,23
DeAndre' Bembry,15.7,2021-05-16,TOR,,IND,L,42.3,9,22,0.409,1,5,0.2,4,4,1.0,1,4,5,4,3,0,2,3,23
Saddiq Bey,13.3,2021-05-16,DET,,MIA,L,36.56666666666667,7,21,0.333,4,15,0.267,4,5,0.8,1,4,5,4,1,1,2,2,22
Khem Birch,18.9,2021-05-16,TOR,,IND,L,41.733333333333334,8,15,0.533,0,3,0.0,2,2,1.0,5,9,14,4,1,0,1,2,18
Gabe Vincent,15.6,2021-05-16,MIA,@,DET,W,36.733333333333334,6,12,0.5,3,7,0.429,0,0,0.0,0,6,6,10,2,0,3,3,15
Josh Hall,12.9,2021-05-16,OKC,,LAC,W,42.71666666666667,11,21,0.524,1,6,0.167,2,6,0.333,1,9,10,2,0,0,3,5,25
CJ McCollum,18.2,2021-05-16,POR,,DEN,W,31.1,9,17,0.529,5,9,0.556,1,1,1.0,1,1,2,5,1,0,3,0,24
Willy Hernangomez,17.7,2021-05-16,NOP,,LAL,L,29.578333333333333,8,11,0.727,0,0,0.0,3,5,0.6,4,9,13,1,0,2,2,4,19
Andrew Wiggins,15.7,2021-05-16,GSW,,MEM,W,37.108333333333334,9,16,0.563,2,2,1.0,1,2,0.5,3,7,10,0,1,1,2,3,21
Draymond Green,18.0,2021-05-16,GSW,,MEM,W,37.86666666666667,4,7,0.571,0,2,0.0,6,6,1.0,1,7,8,9,1,2,3,3,14
Shake Milton,17.0,2021-05-16,PHI,,ORL,W,25.6,6,13,0.462,3,6,0.5,0,0,0.0,0,4,4,9,1,2,0,3,15
LaMelo Ball,13.7,2021-05-16,CHA,@,WAS,L,33.475,7,21,0.333,2,8,0.25,3,4,0.75,2,5,7,5,2,0,1,1,19
Coby White,14.2,2021-05-16,CHI,,MIL,W,31.266666666666666,6,13,0.462,4,9,0.444,3,4,0.75,0,5,5,5,1,1,4,1,19
Naji Marshall,11.6,2021-05-16,NOP,,LAL,L,35.26166666666666,6,13,0.462,4,6,0.667,2,2,1.0,0,6,6,7,1,0,7,1,18
Paul Reed,17.3,2021-05-16,PHI,,ORL,W,23.533333333333335,7,13,0.538,0,0,0.0,3,4,0.75,7,5,12,3,1,1,2,3,17
Thaddeus Young,13.8,2021-05-16,CHI,,MIL,W,25.55,8,15,0.533,0,1,0.0,4,6,0.667,1,6,7,3,0,3,4,2,20
