Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DeMarcus Cousins,31.4,2013-04-17,SAC,,LAC,L,41.38333333333333,14,24,0.583,0,0,0.0,8,11,0.727,4,18,22,3,0,3,3,4,36
LaMarcus Aldridge,27.0,2013-04-17,POR,,GSW,L,32.1,12,23,0.522,0,0,0.0,6,6,1.0,4,17,21,1,0,3,2,1,30
Gerald Green,24.9,2013-04-17,IND,,PHI,L,39.95,14,23,0.609,6,12,0.5,0,1,0.0,1,5,6,1,2,1,3,2,34
Pau Gasol,21.6,2013-04-17,LAL,,HOU,W,43.723333333333336,7,17,0.412,0,0,0.0,3,4,0.75,5,15,20,11,0,2,3,0,17
Dwight Howard,13.7,2013-04-17,LAL,,HOU,W,46.03333333333333,6,15,0.4,0,1,0.0,4,10,0.4,3,15,18,2,3,4,4,4,16
James Harden,14.0,2013-04-17,HOU,@,LAL,L,45.1,8,25,0.32,4,13,0.308,10,12,0.833,2,6,8,3,1,0,6,3,30
Zach Randolph,21.9,2013-04-17,MEM,,UTA,W,30.638333333333332,10,20,0.5,0,0,0.0,5,7,0.714,6,13,19,2,0,0,1,2,25
John Henson,25.0,2013-04-17,MIL,@,OKC,W,44.36666666666667,11,19,0.579,0,0,0.0,6,8,0.75,8,8,16,1,0,0,2,0,28
Chris Copeland,17.7,2013-04-17,NYK,,ATL,W,40.28333333333333,14,29,0.483,1,4,0.25,4,8,0.5,3,0,3,1,1,2,3,3,33
Kemba Walker,17.0,2013-04-17,CHA,,CLE,W,36.4,6,16,0.375,3,7,0.429,9,12,0.75,1,3,4,7,2,1,5,3,24
Chris Paul,24.1,2013-04-17,LAC,@,SAC,W,35.333333333333336,11,20,0.55,0,3,0.0,3,5,0.6,1,3,4,11,1,0,0,2,25
Al Jefferson,16.6,2013-04-17,UTA,@,MEM,L,40.35,8,19,0.421,0,0,0.0,6,6,1.0,2,14,16,2,0,1,1,5,22
Steve Blake,18.4,2013-04-17,LAL,,HOU,W,47.983333333333334,6,20,0.3,4,12,0.333,8,8,1.0,2,5,7,7,0,0,1,2,24
Jamal Crawford,21.9,2013-04-17,LAC,@,SAC,W,30.496666666666666,9,16,0.563,6,8,0.75,0,0,0.0,0,1,1,6,2,0,1,0,24
Dwyane Wade,20.8,2013-04-17,MIA,,ORL,W,23.216666666666665,9,15,0.6,0,0,0.0,3,8,0.375,2,3,5,10,0,2,2,0,21
Kyrie Irving,15.8,2013-04-17,CLE,@,CHA,L,35.516666666666666,9,20,0.45,2,9,0.222,4,4,1.0,0,4,4,10,0,0,4,5,24
Dorell Wright,21.4,2013-04-17,PHI,@,IND,W,36.083333333333336,8,15,0.533,4,8,0.5,3,3,1.0,0,2,2,5,1,2,0,2,23
Al-Farouq Aminu,15.5,2013-04-17,NOH,@,DAL,L,33.88333333333333,8,15,0.533,0,0,0.0,0,0,0.0,8,12,20,1,0,1,3,2,16
Mike Scott,17.3,2013-04-17,ATL,@,NYK,L,36.25,10,22,0.455,0,0,0.0,3,3,1.0,5,9,14,1,0,0,0,3,23
Carlos Boozer,15.5,2013-04-17,CHI,,WAS,W,37.94833333333333,8,16,0.5,0,0,0.0,3,4,0.75,4,11,15,4,0,0,2,5,19
Andre Iguodala,18.4,2013-04-17,DEN,,PHX,W,31.216666666666665,8,14,0.571,0,2,0.0,4,6,0.667,1,4,5,5,2,2,3,0,20
Darren Collison,23.8,2013-04-17,DAL,,NOH,W,28.25,10,15,0.667,1,2,0.5,4,6,0.667,1,1,2,4,2,1,0,1,25
Iman Shumpert,19.0,2013-04-17,NYK,,ATL,W,38.39,7,11,0.636,1,2,0.5,3,3,1.0,1,6,7,8,2,0,3,3,18
James White,16.0,2013-04-17,NYK,,ATL,W,43.65,8,15,0.533,3,6,0.5,1,1,1.0,0,6,6,3,3,0,2,4,20
David Lee,19.7,2013-04-17,GSW,@,POR,W,31.795,9,12,0.75,0,0,0.0,2,3,0.667,0,10,10,1,3,0,1,2,20
Wilson Chandler,19.4,2013-04-17,DEN,,PHX,W,25.033333333333335,8,14,0.571,2,5,0.4,3,3,1.0,3,3,6,4,2,0,2,2,21
Mike Miller,21.0,2013-04-17,MIA,,ORL,W,30.833333333333332,7,10,0.7,6,9,0.667,1,1,1.0,0,2,2,6,1,0,0,4,21
Isaiah Thomas,11.9,2013-04-17,SAC,,LAC,L,42.95666666666666,5,17,0.294,3,7,0.429,2,2,1.0,3,1,4,10,2,0,3,4,15
Tim Duncan,13.7,2013-04-17,SAS,,MIN,L,27.416666666666668,5,11,0.455,0,0,0.0,7,7,1.0,2,12,14,3,0,1,5,1,17
Reggie Jackson,18.5,2013-04-17,OKC,,MIL,L,36.416666666666664,8,18,0.444,0,6,0.0,7,7,1.0,1,5,6,5,1,0,1,2,23
Rudy Gay,16.3,2013-04-17,TOR,,BOS,W,25.866666666666667,6,14,0.429,4,6,0.667,3,3,1.0,1,8,9,2,1,0,0,2,19
Anthony Randolph,16.0,2013-04-17,DEN,,PHX,W,22.066666666666666,4,5,0.8,0,0,0.0,3,3,1.0,3,11,14,2,1,3,3,0,11
Nikola Vučević,15.4,2013-04-17,ORL,@,MIA,L,36.6,9,13,0.692,0,0,0.0,2,3,0.667,1,12,13,0,1,0,2,5,20
Derrick Williams,15.3,2013-04-17,MIN,@,SAS,W,32.94833333333333,7,15,0.467,2,4,0.5,5,6,0.833,0,6,6,4,1,0,2,3,21
Josh McRoberts,19.2,2013-04-17,CHA,,CLE,W,40.56666666666667,6,6,1.0,3,3,1.0,5,6,0.833,1,7,8,2,1,0,3,2,20
Luis Scola,15.3,2013-04-17,PHX,@,DEN,L,28.083333333333332,6,18,0.333,0,0,0.0,5,6,0.833,8,3,11,4,1,0,1,1,17
AJ Price,18.0,2013-04-17,WAS,@,CHI,L,30.216666666666665,9,17,0.529,3,7,0.429,3,4,0.75,1,0,1,4,1,0,1,2,24
Chandler Parsons,14.1,2013-04-17,HOU,@,LAL,L,44.68333333333333,10,18,0.556,2,7,0.286,1,2,0.5,0,4,4,3,1,0,3,3,23
Klay Thompson,12.2,2013-04-17,GSW,@,POR,W,38.28333333333333,9,19,0.474,5,7,0.714,1,2,0.5,0,3,3,0,1,0,2,4,24
Earl Barron,11.3,2013-04-17,NYK,,ATL,W,36.5,5,14,0.357,0,0,0.0,1,2,0.5,6,12,18,2,0,1,1,1,11
Beno Udrih,15.1,2013-04-17,ORL,@,MIA,L,36.05,5,8,0.625,1,2,0.5,2,4,0.5,1,2,3,14,1,0,4,4,13
Greg Stiemsma,16.4,2013-04-17,MIN,@,SAS,W,32.50833333333333,6,8,0.75,0,0,0.0,0,0,0.0,1,8,9,0,5,1,0,3,12
Rashard Lewis,14.7,2013-04-17,MIA,,ORL,W,25.3,6,12,0.5,3,7,0.429,1,2,0.5,0,8,8,2,1,1,0,1,16
Marcus Thornton,13.9,2013-04-17,SAC,,LAC,L,37.01,8,20,0.4,5,12,0.417,0,0,0.0,1,1,2,3,1,0,0,1,21
Eric Gordon,7.8,2013-04-17,NOH,@,DAL,L,34.21,4,17,0.235,0,2,0.0,8,9,0.889,0,3,3,3,4,1,4,3,16
Evan Turner,9.9,2013-04-17,PHI,@,IND,W,39.53333333333333,7,18,0.389,1,3,0.333,1,2,0.5,1,5,6,5,2,0,2,4,16
Brook Lopez,17.3,2013-04-17,BKN,,DET,W,20.933333333333334,7,15,0.467,0,0,0.0,6,6,1.0,5,4,9,1,1,0,1,1,20
Stephen Curry,11.5,2013-04-17,GSW,@,POR,W,31.683333333333334,5,16,0.313,4,11,0.364,1,1,1.0,1,1,2,5,3,0,1,2,15
DeMar DeRozan,20.4,2013-04-17,TOR,,BOS,W,29.083333333333332,8,13,0.615,3,3,1.0,5,5,1.0,1,2,3,2,0,0,0,1,24
Greg Monroe,8.5,2013-04-17,DET,@,BKN,L,28.733333333333334,5,10,0.5,0,0,0.0,2,4,0.5,3,9,12,3,2,0,5,4,12
Dirk Nowitzki,14.1,2013-04-17,DAL,,NOH,W,28.066666666666666,7,15,0.467,0,3,0.0,2,2,1.0,1,8,9,4,0,1,0,2,16
Shawn Marion,15.0,2013-04-17,DAL,,NOH,W,30.783333333333335,7,12,0.583,0,1,0.0,1,1,1.0,1,6,7,3,3,0,2,0,15
Tobias Harris,11.8,2013-04-17,ORL,@,MIA,L,38.221666666666664,7,16,0.438,0,3,0.0,5,11,0.455,2,6,8,2,1,0,0,5,19
P.J. Tucker,14.3,2013-04-17,PHX,@,DEN,L,25.883333333333333,4,9,0.444,2,4,0.5,4,4,1.0,3,4,7,0,3,1,2,0,14
Jordan Crawford,12.9,2013-04-17,BOS,@,TOR,L,36.233333333333334,6,14,0.429,2,6,0.333,2,2,1.0,2,4,6,5,1,0,2,2,16
John Wall,12.6,2013-04-17,WAS,@,CHI,L,38.166666666666664,8,21,0.381,1,2,0.5,6,8,0.75,1,2,3,4,0,0,1,3,23
Jonas Valančiūnas,13.2,2013-04-17,TOR,,BOS,W,28.626666666666665,6,10,0.6,0,0,0.0,6,8,0.75,3,4,7,0,0,3,4,2,18
Omri Casspi,10.4,2013-04-17,CLE,@,CHA,L,23.86,3,6,0.5,2,4,0.5,0,0,0.0,0,9,9,3,4,0,1,6,8
Andre Drummond,14.6,2013-04-17,DET,@,BKN,L,30.233333333333334,5,7,0.714,0,0,0.0,3,3,1.0,1,2,3,1,3,3,1,4,13
Jimmy Butler III,12.6,2013-04-17,CHI,,WAS,W,42.75,4,8,0.5,1,1,1.0,4,6,0.667,2,4,6,3,2,1,3,0,13
Damian Lillard,14.9,2013-04-17,POR,,GSW,L,37.60333333333333,7,13,0.538,2,5,0.4,5,6,0.833,0,1,1,3,1,0,2,2,21
Derrick Favors,7.9,2013-04-17,UTA,@,MEM,L,26.583333333333332,2,9,0.222,0,0,0.0,0,0,0.0,4,7,11,3,3,2,2,0,4
John Jenkins,11.5,2013-04-17,ATL,@,NYK,L,39.36666666666667,8,19,0.421,0,6,0.0,4,5,0.8,0,3,3,3,1,0,2,0,20
Will Bynum,14.3,2013-04-17,DET,@,BKN,L,21.95,7,10,0.7,0,2,0.0,9,11,0.818,0,0,0,1,2,0,6,1,23
