Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Danny Granger,32.0,2009-04-15,IND,,MIL,W,41.68333333333333,10,16,0.625,5,7,0.714,10,11,0.909,2,7,9,4,3,3,6,2,35
Caron Butler,32.8,2009-04-15,WAS,@,BOS,L,41.416666666666664,13,20,0.65,4,8,0.5,9,10,0.9,1,6,7,4,2,1,3,5,39
Chris Paul,25.8,2009-04-15,NOH,@,SAS,L,47.31666666666667,9,21,0.429,2,4,0.5,6,8,0.75,0,7,7,14,2,0,1,3,26
Grant Hill,24.1,2009-04-15,PHX,,GSW,W,31.933333333333334,7,25,0.28,0,1,0.0,13,16,0.813,8,2,10,5,4,1,1,1,27
Dirk Nowitzki,24.0,2009-04-15,DAL,,HOU,W,41.11666666666667,13,23,0.565,0,0,0.0,4,6,0.667,0,15,15,2,2,0,1,3,30
Anthony Morrow,28.1,2009-04-15,GSW,@,PHX,L,43.88333333333333,13,22,0.591,3,5,0.6,4,4,1.0,6,6,12,3,0,0,2,2,33
Shawn Marion,34.4,2009-04-15,TOR,@,CHI,W,42.098333333333336,15,18,0.833,0,0,0.0,4,4,1.0,5,6,11,3,1,0,1,1,34
Kevin Durant,26.9,2009-04-15,OKC,@,LAC,W,32.18333333333333,8,15,0.533,2,3,0.667,8,10,0.8,3,6,9,3,4,0,1,0,26
Daniel Gibson,19.9,2009-04-15,CLE,,PHI,L,37.705,12,24,0.5,4,10,0.4,0,0,0.0,1,2,3,7,2,1,3,5,28
C.J. Watson,20.1,2009-04-15,GSW,@,PHX,L,44.833333333333336,6,17,0.353,0,5,0.0,8,9,0.889,1,6,7,12,3,1,3,4,20
Tim Duncan,21.3,2009-04-15,SAS,,NOH,W,33.73166666666667,7,11,0.636,0,0,0.0,6,8,0.75,3,16,19,6,0,1,4,2,20
Richard Jefferson,21.8,2009-04-15,MIL,@,IND,L,31.645,13,20,0.65,3,5,0.6,2,3,0.667,0,4,4,1,3,1,4,4,31
Andre Miller,26.9,2009-04-15,PHI,@,CLE,W,44.23166666666667,10,18,0.556,1,2,0.5,9,13,0.692,1,0,1,8,3,0,1,3,30
Chris Bosh,13.0,2009-04-15,TOR,@,CHI,W,42.15833333333333,8,23,0.348,1,3,0.333,4,6,0.667,6,13,19,2,1,0,4,2,21
Derrick Rose,22.9,2009-04-15,CHI,,TOR,L,42.61666666666667,7,14,0.5,0,0,0.0,6,8,0.75,3,3,6,11,1,2,2,1,20
Ike Diogu,20.4,2009-04-15,SAC,@,MIN,W,39.5,10,17,0.588,0,1,0.0,8,11,0.727,3,10,13,0,1,0,3,4,28
Tony Parker,21.7,2009-04-15,SAS,,NOH,W,42.7,12,21,0.571,0,0,0.0,5,7,0.714,0,4,4,6,2,0,2,5,29
Andre Iguodala,22.8,2009-04-15,PHI,@,CLE,W,47.016666666666666,6,11,0.545,2,4,0.5,10,14,0.714,2,6,8,5,2,0,3,0,24
David West,22.7,2009-04-15,NOH,@,SAS,L,48.333333333333336,15,24,0.625,1,1,1.0,3,4,0.75,0,7,7,0,0,0,1,3,34
Flip Murray,18.9,2009-04-15,ATL,@,MEM,L,42.65,8,21,0.381,1,4,0.25,12,13,0.923,0,3,3,6,0,1,4,0,29
Yao Ming,15.1,2009-04-15,HOU,@,DAL,L,35.35,11,20,0.55,0,0,0.0,1,1,1.0,2,7,9,2,1,2,4,4,23
Chris Quinn,22.2,2009-04-15,MIA,,DET,W,31.25,9,13,0.692,5,5,1.0,3,6,0.5,0,4,4,5,0,0,1,2,26
Wally Szczerbiak,22.7,2009-04-15,CLE,,PHI,L,43.485,8,11,0.727,2,3,0.667,3,4,0.75,1,7,8,8,0,0,1,2,21
DJ White,18.0,2009-04-15,OKC,@,LAC,W,24.316666666666666,6,12,0.5,0,0,0.0,3,4,0.75,4,7,11,2,2,3,1,0,15
Jose Calderon,17.7,2009-04-15,TOR,@,CHI,W,35.95,6,12,0.5,0,0,0.0,2,2,1.0,0,5,5,14,2,0,2,4,14
Kwame Brown,15.3,2009-04-15,DET,@,MIA,L,41.516666666666666,6,13,0.462,0,0,0.0,5,8,0.625,3,10,13,1,3,0,1,4,17
Tony Battie,17.8,2009-04-15,ORL,,CHA,W,33.7,9,16,0.563,0,0,0.0,3,4,0.75,2,7,9,3,2,0,2,2,21
O.J. Mayo,17.0,2009-04-15,MEM,,ATL,W,41.86666666666667,8,17,0.471,2,5,0.4,8,8,1.0,0,5,5,2,1,0,3,3,26
Brandon Rush,17.2,2009-04-15,IND,,MIL,W,38.45,10,18,0.556,4,6,0.667,0,0,0.0,1,4,5,0,1,1,1,2,24
Jason Kidd,14.7,2009-04-15,DAL,,HOU,W,40.65,4,7,0.571,3,3,1.0,0,0,0.0,2,8,10,12,0,0,4,3,11
Earl Watson,17.0,2009-04-15,OKC,@,LAC,W,29.45,6,10,0.6,0,1,0.0,4,6,0.667,0,4,4,14,1,0,4,4,16
