Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Vince Carter,22.1,2007-04-18,NJN,,CHI,W,40.961666666666666,10,23,0.435,3,7,0.429,1,3,0.333,3,7,10,9,2,1,1,3,24
Travis Outlaw,30.1,2007-04-18,POR,,GSW,L,40.233333333333334,10,18,0.556,0,1,0.0,16,16,1.0,1,9,10,1,2,0,3,1,36
David West,24.9,2007-04-18,NOK,@,LAC,W,42.416666666666664,15,26,0.577,0,1,0.0,2,2,1.0,4,5,9,0,3,2,2,4,32
Pau Gasol,25.0,2007-04-18,MEM,@,MIN,W,36.36666666666667,9,15,0.6,0,0,0.0,7,9,0.778,1,15,16,6,0,1,2,1,25
Kobe Bryant,29.8,2007-04-18,LAL,@,SAC,W,34.38333333333333,12,19,0.632,0,2,0.0,10,12,0.833,1,6,7,6,1,0,1,4,34
Andre Miller,25.4,2007-04-18,PHI,@,TOR,W,48.0,8,15,0.533,0,1,0.0,13,15,0.867,1,8,9,8,1,0,4,3,29
Randy Foye,26.9,2007-04-18,MIN,,MEM,L,35.21666666666667,10,15,0.667,2,3,0.667,4,5,0.8,5,3,8,6,3,0,3,2,26
Willie Green,19.1,2007-04-18,PHI,@,TOR,W,35.83,14,25,0.56,5,7,0.714,4,4,1.0,0,3,3,1,1,0,7,4,37
Amir Johnson,21.4,2007-04-18,DET,@,BOS,W,37.15,10,14,0.714,0,2,0.0,0,0,0.0,6,6,12,0,3,4,3,4,20
Stephen Jackson,24.7,2007-04-18,GSW,@,POR,W,35.42166666666667,11,19,0.579,3,8,0.375,6,7,0.857,3,2,5,5,1,0,3,3,31
Jason Richardson,22.2,2007-04-18,GSW,@,POR,W,32.971666666666664,10,16,0.625,4,6,0.667,1,3,0.333,2,6,8,2,3,0,2,1,25
Rajon Rondo,25.0,2007-04-18,BOS,,DET,L,44.61666666666667,7,11,0.636,0,0,0.0,5,5,1.0,0,4,4,9,6,0,1,4,19
Tarence Kinsey,27.3,2007-04-18,MEM,@,MIN,W,45.63333333333333,9,13,0.692,0,1,0.0,4,4,1.0,4,5,9,7,3,0,1,1,22
Chris Bosh,19.8,2007-04-18,TOR,,PHI,L,36.43333333333333,9,16,0.563,1,2,0.5,4,4,1.0,2,7,9,5,1,2,3,5,23
Earl Boykins,24.6,2007-04-18,MIL,@,CLE,L,48.0,11,15,0.733,5,7,0.714,1,1,1.0,0,2,2,7,1,0,3,2,28
Joe Smith,25.7,2007-04-18,PHI,@,TOR,W,40.983333333333334,11,17,0.647,0,0,0.0,4,4,1.0,4,7,11,4,0,1,0,3,26
LeBron James,20.0,2007-04-18,CLE,,MIL,W,39.96666666666667,9,18,0.5,1,4,0.25,5,10,0.5,0,5,5,9,2,0,2,2,24
Luke Jackson,26.3,2007-04-18,TOR,,PHI,L,39.13333333333333,12,16,0.75,2,6,0.333,4,5,0.8,1,3,4,5,1,0,1,5,30
Baron Davis,14.4,2007-04-18,GSW,@,POR,W,34.695,4,16,0.25,0,3,0.0,4,5,0.8,2,8,10,14,3,0,3,3,12
Malik Rose,15.2,2007-04-18,NYK,@,CHA,W,37.31666666666667,3,10,0.3,0,2,0.0,4,4,1.0,4,11,15,9,2,2,4,2,10
Corey Maggette,19.4,2007-04-18,LAC,,NOK,L,38.75,7,16,0.438,1,2,0.5,6,9,0.667,5,6,11,4,1,1,1,2,21
Reggie Evans,20.7,2007-04-18,DEN,@,SAS,W,30.05,7,9,0.778,0,0,0.0,5,10,0.5,5,15,20,0,1,0,1,2,19
Steve Francis,14.6,2007-04-18,NYK,@,CHA,W,47.37166666666667,7,16,0.438,2,6,0.333,8,11,0.727,1,7,8,3,1,1,6,1,24
Ricky Davis,17.4,2007-04-18,MIN,,MEM,L,37.15,10,21,0.476,2,6,0.333,1,1,1.0,3,3,6,6,0,1,2,2,23
Sasha Pavlovic,16.4,2007-04-18,CLE,,MIL,W,33.71666666666667,9,14,0.643,3,4,0.75,0,0,0.0,1,3,4,5,2,1,5,3,21
Al Jefferson,11.5,2007-04-18,BOS,,DET,L,37.31666666666667,7,17,0.412,0,0,0.0,3,7,0.429,6,9,15,2,1,1,4,2,17
Eddy Curry,13.4,2007-04-18,NYK,@,CHA,W,37.805,11,20,0.55,0,0,0.0,6,11,0.545,4,4,8,0,1,0,6,5,28
Lamar Odom,18.2,2007-04-18,LAL,@,SAC,W,35.53333333333333,5,6,0.833,0,1,0.0,5,8,0.625,2,11,13,5,0,2,1,5,15
Al Harrington,21.3,2007-04-18,GSW,@,POR,W,31.083333333333332,10,16,0.625,2,5,0.4,2,4,0.5,2,5,7,4,0,0,0,1,24
Mikki Moore,17.8,2007-04-18,NJN,,CHI,W,31.096666666666668,8,11,0.727,0,0,0.0,6,6,1.0,3,6,9,1,1,1,4,5,22
Kirk Hinrich,12.2,2007-04-18,CHI,@,NJN,L,33.7,7,16,0.438,3,6,0.5,3,3,1.0,0,3,3,9,0,0,5,4,20
Walter Herrmann,11.6,2007-04-18,CHA,,NYK,L,43.88333333333333,9,19,0.474,4,7,0.571,0,0,0.0,1,4,5,0,2,0,3,4,22
Jason Kidd,14.1,2007-04-18,NJN,,CHI,W,40.75,1,8,0.125,1,5,0.2,2,2,1.0,6,5,11,11,2,1,1,2,5
Metta World Peace,12.0,2007-04-18,SAC,,LAL,L,40.11666666666667,6,15,0.4,1,2,0.5,3,6,0.5,0,3,3,6,2,2,2,3,16
Steve Blake,15.2,2007-04-18,DEN,@,SAS,W,26.483333333333334,7,12,0.583,2,4,0.5,0,0,0.0,0,2,2,8,3,0,4,1,16
Antawn Jamison,12.8,2007-04-18,WAS,@,IND,W,39.4,5,14,0.357,0,3,0.0,9,12,0.75,0,11,11,1,1,0,1,3,19
Luol Deng,9.0,2007-04-18,CHI,@,NJN,L,34.89833333333333,6,13,0.462,0,2,0.0,3,4,0.75,2,9,11,2,2,0,4,6,15
Dee Brown,15.2,2007-04-18,UTA,,HOU,W,31.216666666666665,3,7,0.429,0,2,0.0,7,8,0.875,0,5,5,8,3,0,3,2,13
Tim Thomas,14.8,2007-04-18,LAC,,NOK,L,27.105,6,12,0.5,4,8,0.5,0,0,0.0,2,3,5,3,2,0,0,4,16
Dorell Wright,12.4,2007-04-18,MIA,@,ORL,L,34.916666666666664,6,9,0.667,1,1,1.0,4,5,0.8,1,7,8,4,0,1,5,4,17
Brevin Knight,16.9,2007-04-18,CHA,,NYK,L,35.28333333333333,5,10,0.5,0,0,0.0,2,4,0.5,0,0,0,13,3,0,1,1,12
Richard Jefferson,9.2,2007-04-18,NJN,,CHI,W,40.28333333333333,5,18,0.278,0,5,0.0,11,14,0.786,0,8,8,2,0,0,3,2,21
T.J. Ford,17.6,2007-04-18,TOR,,PHI,L,25.65,7,10,0.7,1,1,1.0,0,0,0.0,0,2,2,10,1,0,1,2,15
Chucky Atkins,13.6,2007-04-18,MEM,@,MIN,W,36.56666666666667,3,10,0.3,2,8,0.25,0,0,0.0,0,2,2,16,1,0,1,1,8
Dirk Nowitzki,18.9,2007-04-18,DAL,@,SEA,W,24.566666666666666,7,11,0.636,0,1,0.0,6,6,1.0,0,5,5,5,0,0,0,3,20
Hedo Turkoglu,11.0,2007-04-18,ORL,,MIA,W,28.016666666666666,5,15,0.333,2,4,0.5,3,5,0.6,4,4,8,1,2,0,1,1,15
