Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Anfernee Simons,34.2,2019-04-10,POR,,SAC,W,48.0,13,21,0.619,7,11,0.636,4,6,0.667,3,3,6,9,1,0,2,2,37
Grayson Allen,27.0,2019-04-10,UTA,@,LAC,L,40.71666666666667,11,30,0.367,5,13,0.385,13,14,0.929,2,5,7,4,1,1,3,1,40
Kemba Walker,35.0,2019-04-10,CHA,,ORL,L,40.15,16,25,0.64,4,9,0.444,7,7,1.0,0,2,2,5,0,2,2,1,43
Dennis Schröder,24.9,2019-04-10,OKC,@,MIL,W,39.835,10,21,0.476,8,15,0.533,4,4,1.0,0,5,5,3,4,0,2,5,32
LaMarcus Aldridge,31.7,2019-04-10,SAS,,DAL,W,35.93333333333333,15,21,0.714,0,1,0.0,4,5,0.8,5,11,16,1,1,1,2,1,34
John Collins,24.5,2019-04-10,ATL,,IND,L,35.81666666666667,8,15,0.533,1,2,0.5,3,4,0.75,9,16,25,6,0,1,3,2,20
Tim Frazier,24.3,2019-04-10,MIL,,OKC,L,48.0,10,23,0.435,4,6,0.667,5,7,0.714,1,5,6,13,0,1,3,2,29
Skal Labissiere,27.0,2019-04-10,POR,,SAC,W,40.58,12,17,0.706,2,2,1.0,3,4,0.75,4,11,15,1,2,1,2,5,29
Nikola Jokić,20.2,2019-04-10,DEN,,MIN,W,36.583333333333336,13,26,0.5,1,7,0.143,2,2,1.0,3,11,14,2,3,0,4,4,29
Dwyane Wade,17.0,2019-04-10,MIA,@,BKN,L,36.215,10,28,0.357,3,13,0.231,2,3,0.667,1,10,11,10,0,1,3,1,25
Terrence Ross,30.1,2019-04-10,ORL,@,CHA,W,29.85,12,19,0.632,6,10,0.6,5,5,1.0,2,4,6,2,1,0,1,1,35
Russell Westbrook,21.7,2019-04-10,OKC,@,MIL,W,36.45166666666667,7,10,0.7,1,3,0.333,0,2,0.0,0,11,11,17,1,1,4,3,15
T.J. Leaf,28.1,2019-04-10,IND,@,ATL,W,34.2,12,19,0.632,0,2,0.0,4,5,0.8,5,5,10,2,2,2,0,2,28
Jevon Carter,26.0,2019-04-10,MEM,,GSW,W,26.133333333333333,10,18,0.556,8,12,0.667,4,4,1.0,1,3,4,2,1,0,1,1,32
Andre Drummond,18.0,2019-04-10,DET,@,NYK,W,27.55,10,15,0.667,0,0,0.0,0,1,0.0,5,13,18,3,2,0,5,4,20
Delon Wright,21.1,2019-04-10,MEM,,GSW,W,36.766666666666666,3,7,0.429,3,5,0.6,4,4,1.0,3,8,11,11,3,0,3,1,13
Trae Young,18.4,2019-04-10,ATL,,IND,L,33.7,6,18,0.333,1,7,0.143,10,11,0.909,2,3,5,11,2,0,6,0,23
D.J. Wilson,16.3,2019-04-10,MIL,,OKC,L,46.81666666666667,8,20,0.4,2,7,0.286,0,0,0.0,4,13,17,4,1,0,1,1,18
D'Angelo Russell,21.1,2019-04-10,BKN,,MIA,W,20.1,7,13,0.538,7,11,0.636,0,0,0.0,2,5,7,5,1,0,1,0,21
Alex Len,18.1,2019-04-10,ATL,,IND,L,30.866666666666667,6,17,0.353,2,6,0.333,6,8,0.75,6,4,10,3,0,3,0,3,20
Ivica Zubac,21.5,2019-04-10,LAC,,UTA,W,29.783333333333335,10,13,0.769,0,0,0.0,2,2,1.0,4,7,11,2,0,3,3,2,22
Ekpe Udoh,20.9,2019-04-10,UTA,@,LAC,L,28.783333333333335,5,7,0.714,0,0,0.0,4,6,0.667,3,10,13,5,0,4,0,2,14
Bonzie Colson,17.0,2019-04-10,MIL,,OKC,L,44.833333333333336,7,16,0.438,3,9,0.333,4,5,0.8,2,8,10,0,3,0,2,0,21
Gorgui Dieng,9.5,2019-04-10,MIN,@,DEN,L,34.445,8,20,0.4,2,4,0.5,0,0,0.0,4,7,11,2,3,0,5,5,18
Tyreke Evans,19.9,2019-04-10,IND,@,ATL,W,26.183333333333334,9,14,0.643,5,8,0.625,4,5,0.8,0,2,2,5,0,0,3,4,27
Boban Marjanovic,19.8,2019-04-10,PHI,,CHI,W,24.65,8,12,0.667,2,3,0.667,0,0,0.0,0,8,8,6,0,2,1,0,18
Montrezl Harrell,23.2,2019-04-10,LAC,,UTA,W,20.816666666666666,10,13,0.769,0,0,0.0,4,6,0.667,3,4,7,5,0,1,2,1,24
Aaron Gordon,21.4,2019-04-10,ORL,@,CHA,W,32.93333333333333,11,18,0.611,1,3,0.333,4,4,1.0,2,5,7,3,0,0,2,1,27
Jerami Grant,21.0,2019-04-10,OKC,@,MIL,W,43.251666666666665,11,20,0.55,4,8,0.5,2,2,1.0,2,3,5,1,0,0,0,1,28
Luke Kennard,20.5,2019-04-10,DET,@,NYK,W,24.55,9,14,0.643,4,8,0.5,5,5,1.0,0,5,5,2,0,0,2,3,27
Jamal Murray,17.0,2019-04-10,DEN,,MIN,W,34.583333333333336,6,12,0.5,3,7,0.429,2,4,0.5,2,6,8,7,0,1,2,0,17
Jonathon Simmons,17.7,2019-04-10,PHI,,CHI,W,29.566666666666666,8,14,0.571,3,6,0.5,1,2,0.5,1,6,7,5,0,1,2,0,20
Georges Niang,13.7,2019-04-10,UTA,@,LAC,L,39.516666666666666,9,21,0.429,2,6,0.333,4,4,1.0,1,5,6,3,0,1,3,3,24
Andrew Wiggins,17.3,2019-04-10,MIN,@,DEN,L,35.983333333333334,11,20,0.55,3,6,0.5,0,1,0.0,1,4,5,4,0,0,2,1,25
