Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordan Crawford,28.9,2014-04-16,GSW,@,DEN,W,41.233333333333334,16,28,0.571,2,8,0.25,7,8,0.875,1,4,5,3,1,1,3,3,41
Jamal Crawford,27.2,2014-04-16,LAC,@,POR,L,41.59,10,25,0.4,3,10,0.3,11,11,1.0,1,4,5,8,2,0,2,2,34
Kevin Durant,27.8,2014-04-16,OKC,,DET,W,45.11666666666667,14,30,0.467,1,5,0.2,13,15,0.867,2,2,4,6,0,0,3,3,42
Trey Burke,25.7,2014-04-16,UTA,@,MIN,W,48.345,10,21,0.476,2,4,0.5,10,10,1.0,3,4,7,9,1,0,5,3,32
Randy Foye,23.7,2014-04-16,DEN,,GSW,L,42.583333333333336,10,21,0.476,3,10,0.3,9,12,0.75,0,2,2,11,0,1,5,1,32
Gordon Hayward,18.8,2014-04-16,UTA,@,MIN,W,46.583333333333336,8,23,0.348,0,5,0.0,7,8,0.875,3,7,10,9,1,2,3,2,23
Russell Westbrook,21.7,2014-04-16,OKC,,DET,W,34.03333333333333,5,15,0.333,0,3,0.0,12,15,0.8,3,3,6,8,6,0,4,3,22
Dirk Nowitzki,22.7,2014-04-16,DAL,@,MEM,L,45.916666666666664,12,22,0.545,3,9,0.333,3,3,1.0,0,5,5,2,0,4,2,1,30
JR Smith,25.6,2014-04-16,NYK,,TOR,W,27.45,13,19,0.684,2,5,0.4,2,4,0.5,0,4,4,1,5,0,2,1,30
Kentavious Caldwell-Pope,24.0,2014-04-16,DET,@,OKC,L,43.593333333333334,11,19,0.579,5,7,0.714,3,5,0.6,3,3,6,0,2,1,0,5,30
Ben McLemore,22.2,2014-04-16,SAC,,PHX,L,42.333333333333336,9,20,0.45,3,9,0.333,10,15,0.667,0,5,5,5,1,0,2,1,31
Kevin Martin,23.9,2014-04-16,MIN,,UTA,L,39.95,12,24,0.5,3,5,0.6,9,10,0.9,1,1,2,1,2,0,1,6,36
Derrick Favors,23.8,2014-04-16,UTA,@,MIN,W,43.03333333333333,8,12,0.667,0,0,0.0,5,6,0.833,4,8,12,4,2,2,1,5,21
Steve Blake,18.4,2014-04-16,GSW,@,DEN,W,47.18333333333333,3,10,0.3,1,4,0.25,1,2,0.5,0,7,7,15,7,0,3,0,8
Brandon Knight,23.9,2014-04-16,MIL,,ATL,L,39.71666666666667,12,18,0.667,3,6,0.5,4,4,1.0,2,5,7,4,0,0,3,5,31
Cole Aldrich,20.6,2014-04-16,NYK,,TOR,W,39.59166666666667,5,8,0.625,0,0,0.0,3,4,0.75,7,9,16,1,2,5,1,3,13
Tyreke Evans,22.1,2014-04-16,NOP,,HOU,W,35.233333333333334,11,20,0.55,1,1,1.0,2,4,0.5,2,4,6,10,0,1,2,2,25
Zach Randolph,20.1,2014-04-16,MEM,,DAL,W,46.055,11,22,0.5,0,0,0.0,5,6,0.833,9,5,14,1,1,0,3,5,27
Bradley Beal,25.2,2014-04-16,WAS,@,BOS,W,35.9,10,14,0.714,3,5,0.6,4,4,1.0,0,7,7,3,2,0,1,3,27
Marc Gasol,23.6,2014-04-16,MEM,,DAL,W,46.03333333333333,9,13,0.692,0,1,0.0,1,4,0.25,1,8,9,9,2,1,0,2,19
Greg Monroe,15.9,2014-04-16,DET,@,OKC,L,37.85,9,19,0.474,0,0,0.0,4,9,0.444,2,6,8,9,1,1,4,4,22
Harrison Barnes,18.1,2014-04-16,GSW,@,DEN,W,48.0,11,21,0.524,3,5,0.6,5,12,0.417,1,4,5,3,1,0,3,2,30
Tyler Zeller,25.4,2014-04-16,CLE,,BKN,W,26.25,9,11,0.818,0,0,0.0,4,5,0.8,4,7,11,2,1,2,0,2,22
Andre Drummond,20.2,2014-04-16,DET,@,OKC,L,27.9,9,16,0.563,0,0,0.0,4,8,0.5,8,5,13,0,2,1,0,6,22
Jeremy Evans,16.5,2014-04-16,UTA,@,MIN,W,38.11666666666667,8,13,0.615,0,0,0.0,2,2,1.0,6,5,11,0,3,3,4,6,18
Kemba Walker,22.2,2014-04-16,CHA,,CHI,W,39.916666666666664,6,16,0.375,0,6,0.0,10,11,0.909,0,7,7,8,1,1,0,0,22
Jordan Hill,19.7,2014-04-16,LAL,@,SAS,W,27.85,7,13,0.538,0,0,0.0,4,6,0.667,3,11,14,2,1,2,0,1,18
Andray Blatche,15.5,2014-04-16,BKN,@,CLE,L,39.266666666666666,8,18,0.444,1,4,0.25,3,3,1.0,1,11,12,3,2,0,2,3,20
Will Barton,14.4,2014-04-16,POR,,LAC,W,35.4,7,20,0.35,3,7,0.429,6,8,0.75,2,8,10,2,1,0,2,2,23
Joakim Noah,12.9,2014-04-16,CHI,@,CHA,L,42.38333333333333,7,16,0.438,0,0,0.0,0,0,0.0,1,12,13,6,1,2,2,4,14
Kevin Love,12.8,2014-04-16,MIN,,UTA,L,46.63333333333333,4,15,0.267,1,9,0.111,10,12,0.833,0,10,10,9,0,0,5,2,19
