Rk,Player,GmSc,Date,Age,Team, ,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.
,Tre Mann,12.5,2024-03-15,23-041,CHO,,PHO,"L, 96-107",*,36,4,10,.400,3,5,.600,1,5,.200,3,5,.600,.492,1,3,4,7,1,0,0,2,12,12.5,1.0,-1,G
,Anthony Mason,12.5,1996-12-28,30-014,CHH,@,DET,"L, 75-97",*,42,6,12,.500,6,11,.545,0,1,.000,5,7,.714,.564,1,5,6,5,0,0,3,1,17,12.5,1.9,-19,F
,Anthony Mason,12.5,1997-12-22,31-008,CHH,,TOR,"W, 81-79",*,35,6,12,.500,6,12,.500,0,0,,5,6,.833,.581,3,8,11,2,0,0,4,0,17,12.5,1.4,-7,F
,Anthony Mason,12.5,1998-04-19,31-126,CHH,,ORL,"W, 89-76",*,37,5,8,.625,5,8,.625,0,0,,0,0,,.625,1,10,11,6,0,0,1,2,10,12.5,4.1,17,F
,Nazr Mohammed,12.5,2009-12-01,32-087,CHA,,BOS,"L, 90-108",,19,6,10,.600,6,10,.600,0,0,,4,8,.500,.592,3,2,5,0,1,0,1,0,16,12.5,8.8,-4,C
,Malik Monk,12.5,2019-11-15,21-284,CHO,,DET,"W, 109-106",,22,8,12,.667,6,8,.750,2,4,.500,1,2,.500,.738,0,4,4,1,0,0,2,2,19,12.5,4.1,23,G
,Alonzo Mourning,12.5,1993-01-14,22-341,CHH,@,HOU,"L, 102-114",*,33,8,10,.800,8,10,.800,0,0,,2,3,.667,.795,2,5,7,2,0,2,5,5,18,12.5,0.2,,C-F
,Alonzo Mourning,12.5,1993-02-26,23-018,CHH,@,IND,"L, 105-137",*,22,4,9,.444,4,9,.444,0,0,,7,8,.875,.599,3,3,6,1,0,3,2,3,15,12.5,1.5,,C-F
,Alonzo Mourning,12.5,1993-11-05,23-270,CHH,,CHI,"L, 123-124 (OT)",*,43,7,15,.467,7,15,.467,0,0,,4,5,.800,.523,3,7,10,1,1,1,2,5,18,12.5,-3.5,,C-F
,Alonzo Mourning,12.5,1994-04-24,24-075,CHH,@,WSB,"L, 99-117",*,36,6,17,.353,6,17,.353,0,0,,6,10,.600,.421,4,9,13,1,0,4,3,1,18,12.5,-3.1,,C-F
,Gary Neal,12.5,2014-03-19,29-167,CHA,@,BRK,"L, 99-104",,27,5,9,.556,2,3,.667,3,6,.500,4,4,1.000,.790,0,1,1,1,0,0,0,3,17,12.5,6.6,-9,G
,Emeka Okafor,12.5,2008-01-23,25-117,CHA,,DAL,"L, 95-102",*,38,9,16,.563,9,16,.563,0,0,,1,3,.333,.548,3,7,10,0,0,1,1,5,19,12.5,-2.2,-1,C-F
,Emeka Okafor,12.5,2008-02-27,25-152,CHA,@,NYK,"L, 89-113",*,36,5,15,.333,5,15,.333,0,0,,8,12,.667,.444,3,11,14,0,1,2,2,3,18,12.5,-5.1,-25,C-F
,Kelly Oubre Jr.,12.5,2022-03-08,26-089,CHO,,BRK,"L, 121-132",,22,7,12,.583,6,9,.667,1,3,.333,0,0,,.625,2,3,5,0,2,0,0,3,15,12.5,2.4,-8,F
,Bobby Phills,12.5,1999-11-10,29-325,CHH,,MIL,"W, 117-111",*,42,7,15,.467,6,10,.600,1,5,.200,3,4,.750,.537,0,3,3,5,0,0,1,2,18,12.5,-4.9,2,G
,Mason Plumlee,12.5,2021-11-08,31-248,CHO,@,LAL,"L, 123-126 (OT)",*,35,6,7,.857,6,7,.857,0,0,,1,3,.333,.781,1,8,9,2,0,1,0,6,13,12.5,2.5,13,C-F
,Glen Rice,12.5,1997-04-24,29-331,CHH,@,NYK,"L, 99-109",*,43,9,17,.529,7,13,.538,2,4,.500,2,2,1.000,.615,0,2,2,2,0,0,2,3,22,12.5,-2.2,-3,F
,Glen Rice,12.5,1997-01-10,29-227,CHH,@,PHO,"L, 90-102",*,46,9,20,.450,7,14,.500,2,6,.333,5,5,1.000,.563,2,5,7,0,0,0,3,5,25,12.5,-3.9,-14,F
,Glen Rice,12.5,1998-04-10,30-317,CHH,,ATL,"L, 87-99",*,45,3,10,.300,2,8,.250,1,2,.500,10,11,.909,.573,1,8,9,2,0,0,2,2,17,12.5,-2.4,-9,F
,Nick Richards,12.5,2022-12-02,25-003,CHO,,WAS,"W, 117-116",,13,5,6,.833,5,6,.833,0,0,,2,3,.667,.820,4,5,9,0,0,0,0,3,12,12.5,10.9,1,F-C
,Nick Richards,12.5,2024-02-12,26-075,CHO,,IND,"W, 111-102",*,26,6,6,1.000,6,6,1.000,0,0,,1,3,.333,.888,3,6,9,1,0,1,2,3,13,12.5,3.1,3,F-C
,Terry Rozier,12.5,2024-01-20,29-309,CHO,,PHI,"L, 89-97",*,36,9,18,.500,9,13,.692,0,5,.000,1,5,.200,.470,0,9,9,6,1,0,3,2,19,12.5,-0.6,-10,G
,Ramon Sessions,12.5,2013-01-14,26-278,CHA,@,BOS,"L, 89-100",,24,5,11,.455,4,9,.444,1,2,.500,5,6,.833,.587,1,3,4,3,0,1,1,2,16,12.5,6.7,7,G
,Collin Sexton,12.5,2026-01-07,27-003,CHO,,TOR,"L, 96-97",,24,7,13,.538,4,8,.500,3,5,.600,5,5,1.000,.724,1,1,2,0,0,0,3,3,22,12.5,6.5,-3,G
,KJ Simpson,12.5,2025-03-21,22-225,CHO,@,OKC,"L, 106-141",*,33,2,4,.500,0,1,.000,2,3,.667,4,4,1.000,.868,0,1,1,8,1,0,2,1,10,12.5,0.3,-20,G
,Kelly Tripucka,12.5,1990-04-10,31-053,CHH,,HOU,"L, 112-115",*,30,7,12,.583,6,11,.545,1,1,1.000,3,3,1.000,.676,1,3,4,3,1,0,3,4,18,12.5,1.0,,F-G
,Kemba Walker,12.5,2014-03-12,23-308,CHA,@,WAS,"W, 98-85",*,37,5,13,.385,4,9,.444,1,4,.250,5,6,.833,.512,0,3,3,5,1,0,1,1,16,12.5,2.2,8,G
,Kemba Walker,12.5,2014-03-24,23-320,CHA,,HOU,"L, 89-100",*,39,7,19,.368,5,13,.385,2,6,.333,6,6,1.000,.508,1,3,4,3,0,1,3,1,22,12.5,2.2,0,G
,Kemba Walker,12.5,2013-03-04,22-300,CHA,@,POR,"L, 105-122",*,36,5,20,.250,5,16,.313,0,4,.000,5,5,1.000,.338,1,3,4,11,3,0,2,2,15,12.5,-2.1,-12,G
,Gerald Wallace,12.5,2011-01-25,28-186,CHA,@,SAC,"W, 94-89",*,42,6,12,.500,6,12,.500,0,0,,7,10,.700,.579,1,5,6,1,3,0,4,3,19,12.5,1.8,7,F
,Gerald Wallace,12.5,2010-02-06,27-198,CHA,,NOH,"L, 99-104",*,45,6,11,.545,5,7,.714,1,4,.250,1,1,1.000,.612,0,7,7,3,1,0,1,1,14,12.5,-1.8,-11,F
,P.J. Washington,12.5,2020-01-15,21-145,CHO,@,DEN,"L, 86-100",*,31,6,7,.857,4,5,.800,2,2,1.000,0,0,,1.000,0,4,4,4,2,0,3,5,14,12.5,6.4,-2,F
,David Wesley,12.5,1998-04-25,27-162,CHH,,ATL,"W, 92-85",*,37,5,14,.357,3,12,.250,2,2,1.000,6,8,.750,.514,2,1,3,6,0,0,2,2,18,12.5,2.3,15,G
,David Wesley,12.5,1999-12-01,29-017,CHH,@,POR,"L, 90-94",*,36,5,13,.385,4,12,.333,1,1,1.000,1,1,1.000,.446,0,1,1,11,1,0,1,1,12,12.5,5.9,9,G
,Grant Williams,12.5,2024-03-11,25-102,CHO,@,DET,"L, 97-114",*,32,6,13,.462,4,8,.500,2,5,.400,8,9,.889,.649,0,4,4,2,2,0,5,5,22,12.5,-3.5,-18,F
,Grant Williams,12.5,2026-03-03,27-093,CHO,,DAL,"W, 117-90",,21,4,6,.667,0,0,,4,6,.667,0,0,,1.000,1,3,4,3,1,0,0,4,12,12.5,15.0,23,F
,Marvin Williams,12.5,2017-02-23,30-249,CHO,@,DET,"L, 108-114 (OT)",*,40,4,8,.500,4,6,.667,0,2,.000,5,5,1.000,.637,0,7,7,2,0,2,1,1,13,12.5,0.2,-16,F
,Mark Williams,12.5,2025-03-25,23-099,CHO,,ORL,"L, 104-111",*,28,4,7,.571,4,7,.571,0,0,,0,0,,.571,3,10,13,4,2,1,2,2,8,12.5,4.3,1,C
,David Wingate,12.5,1994-02-24,30-071,CHH,,DAL,"L, 110-115",*,35,6,9,.667,5,8,.625,1,1,1.000,0,0,,.722,1,1,2,2,5,0,2,5,13,12.5,4.9,,G-F
,Cody Zeller,12.5,2016-04-03,23-181,CHO,@,CLE,"L, 103-112",*,29,2,6,.333,2,6,.333,0,0,,4,4,1.000,.515,2,4,6,1,5,0,0,1,8,12.5,4.0,-2,C-F
,Kenny Anderson,12.4,1996-02-16,25-130,CHH,,DEN,"W, 107-100",*,33,5,10,.500,4,7,.571,1,3,.333,1,2,.500,.551,1,1,2,10,2,0,3,3,12,12.4,1.9,,G
,D.J. Augustin,12.4,2012-03-31,24-142,CHA,@,DET,"L, 107-110 (OT)",*,37,5,15,.333,3,7,.429,2,8,.250,4,4,1.000,.477,0,1,1,10,1,0,3,1,16,12.4,-4.5,-7,G
,Nicolas Batum,12.4,2017-11-18,28-339,CHO,,LAC,"W, 102-87",*,28,4,11,.364,3,7,.429,1,4,.250,3,3,1.000,.487,1,3,4,7,1,2,2,1,12,12.4,7.4,27,F-G
,Nicolas Batum,12.4,2019-02-06,30-054,CHO,@,DAL,"L, 93-99",*,35,6,13,.462,4,4,1.000,2,9,.222,0,0,,.538,0,2,2,5,2,2,2,1,14,12.4,5.3,1,F-G
,Raja Bell,12.4,2009-01-27,32-130,CHA,@,LAL,"W, 117-110 (2OT)",*,48,7,12,.583,4,6,.667,3,6,.500,0,2,.000,.660,2,2,4,2,1,0,1,4,17,12.4,1.3,8,G
,Bismack Biyombo,12.4,2014-01-24,21-149,CHA,@,NYK,"L, 96-125",,17,3,4,.750,3,4,.750,0,0,,2,2,1.000,.820,3,5,8,1,0,3,0,1,8,12.4,13.2,7,C-F
,Bismack Biyombo,12.4,2019-12-15,27-109,CHO,@,IND,"L, 85-107",*,28,5,10,.500,5,10,.500,0,0,,1,2,.500,.506,8,9,17,2,0,1,2,4,11,12.4,0.4,-12,C-F
,Muggsy Bogues,12.4,1991-04-07,26-088,CHH,,CLE,"L, 100-102",,27,5,7,.714,5,7,.714,0,0,,2,2,1.000,.761,1,3,4,3,0,0,0,1,12,12.4,3.5,,G
,Miles Bridges,12.4,2022-01-30,23-315,CHO,,LAC,"L, 90-115",*,38,6,19,.316,6,13,.462,0,6,.000,6,8,.750,.400,2,7,9,2,1,2,0,3,18,12.4,-1.0,-6,G-F
,Miles Bridges,12.4,2019-11-18,21-242,CHO,@,TOR,"L, 96-132",*,28,5,10,.500,3,5,.600,2,5,.400,1,1,1.000,.623,2,3,5,2,1,1,1,0,13,12.4,3.1,-29,G-F
,Miles Bridges,12.4,2024-04-10,26-020,CHO,@,ATL,"W, 115-114",*,30,7,14,.500,5,9,.556,2,5,.400,2,2,1.000,.605,1,2,3,3,0,0,2,0,18,12.4,-4.5,-9,G-F
,Miles Bridges,12.4,2021-02-03,22-319,CHO,,PHI,"L, 111-118",*,32,7,11,.636,5,6,.833,2,5,.400,0,0,,.727,1,6,7,3,1,1,3,5,16,12.4,3.3,-12,G-F
,Miles Bridges,12.4,2021-02-10,22-326,CHO,@,MEM,"L, 114-130",,31,5,9,.556,3,5,.600,2,4,.500,3,4,.750,.697,2,8,10,2,1,1,4,2,15,12.4,-3.0,-23,G-F
,P.J. Brown,12.4,2002-05-12,32-210,CHH,,NJN,"L, 79-89",*,38,2,5,.400,2,5,.400,0,0,,3,4,.750,.518,2,14,16,4,0,5,1,6,7,12.4,3.9,-12,F-C
,Elden Campbell,12.4,2000-02-22,31-214,CHH,,HOU,"W, 102-97",*,38,7,11,.636,7,11,.636,0,0,,0,0,,.636,3,4,7,1,0,1,1,1,14,12.4,-2.7,0,C
,Elden Campbell,12.4,2000-12-09,32-139,CHH,@,IND,"L, 96-99 (OT)",*,40,5,14,.357,5,14,.357,0,0,,8,8,1.000,.514,3,10,13,1,2,2,5,5,18,12.4,-2.2,1,C
,Rex Chapman,12.4,1990-11-23,23-049,CHH,,MIA,"L, 100-116",*,27,6,16,.375,4,11,.364,2,5,.400,5,8,.625,.487,2,1,3,3,2,0,2,1,19,12.4,-0.2,,G
,Rex Chapman,12.4,1988-12-30,21-086,CHH,,NYK,"W, 122-111",,31,6,12,.500,5,9,.556,1,3,.333,0,0,,.542,0,2,2,7,2,1,2,2,13,12.4,4.7,,G
,Earl Cureton,12.4,1989-01-19,31-138,CHH,,PHO,"L, 112-126",*,33,5,11,.455,5,11,.455,0,0,,2,4,.500,.470,5,4,9,3,1,1,0,4,12,12.4,0.6,,F-C
,Dell Curry,12.4,1995-04-17,30-296,CHH,@,PHI,"W, 101-90",,25,5,8,.625,4,6,.667,1,2,.500,1,1,1.000,.711,2,3,5,1,1,0,0,0,12,12.4,7.8,,G
,Dell Curry,12.4,1994-01-22,29-211,CHH,,MIL,"W, 91-80",,31,9,22,.409,8,18,.444,1,4,.250,2,2,1.000,.459,1,5,6,2,1,0,1,1,21,12.4,5.7,,G
,Dell Curry,12.4,1994-04-01,29-280,CHH,@,DAL,"W, 106-104",,23,8,12,.667,4,7,.571,4,5,.800,0,0,,.833,0,0,0,2,1,0,4,2,20,12.4,8.0,,G
,Dell Curry,12.4,1990-01-19,25-208,CHH,@,UTA,"L, 93-116",,28,10,19,.526,9,17,.529,1,2,.500,2,2,1.000,.578,2,2,4,1,2,0,4,5,23,12.4,1.7,,G
,Baron Davis,12.4,2001-01-12,21-274,CHH,@,CHI,"W, 86-85",*,36,6,14,.429,6,12,.500,0,2,.000,9,10,.900,.571,1,3,4,6,0,0,5,4,21,12.4,-2.7,-4,G
,Moussa Diabaté,12.4,2025-11-17,23-300,CHO,@,TOR,"L, 108-110",,20,3,3,1.000,3,3,1.000,0,0,,2,3,.667,.926,2,5,7,2,0,4,1,1,8,12.4,12.1,9,F
,Boris Diaw,12.4,2010-04-12,27-361,CHA,@,NJN,"W, 105-95",*,26,5,9,.556,5,9,.556,0,0,,0,0,,.556,1,4,5,6,2,0,1,1,10,12.4,8.5,-3,F-C
,Vlade Divac,12.4,1998-01-02,29-333,CHH,,MIA,"W, 99-88 (OT)",*,39,4,13,.308,4,12,.333,0,1,.000,2,2,1.000,.360,5,7,12,5,1,2,0,4,10,12.4,4.3,15,C
,LeRon Ellis,12.4,1994-01-25,24-272,CHH,@,MIA,"L, 98-119",,32,5,6,.833,5,6,.833,0,0,,0,0,,.833,2,5,7,3,0,0,0,1,10,12.4,3.5,,F-C
,Kenny Gattison,12.4,1993-11-17,29-178,CHH,,SAC,"W, 130-113",,18,3,3,1.000,3,3,1.000,0,0,,3,3,1.000,1.042,0,3,3,5,0,1,0,2,9,12.4,16.5,,F-C
,Matt Geiger,12.4,1997-11-14,28-065,CHH,@,CHI,"L, 92-105",,20,5,9,.556,5,9,.556,0,0,,4,5,.800,.625,1,8,9,4,0,0,2,2,14,12.4,12.0,-7,C
,Matt Geiger,12.4,1997-11-03,28-054,CHH,@,MIA,"W, 112-99",,31,4,8,.500,4,6,.667,0,2,.000,8,12,.667,.602,2,6,8,2,0,0,1,4,16,12.4,2.2,14,C
,Armen Gilliam,12.4,1990-01-09,25-226,CHH,,LAC,"L, 98-108",*,37,8,20,.400,8,20,.400,0,0,,6,6,1.000,.486,4,5,9,2,0,1,4,3,22,12.4,-2.6,,F-C
,Kendall Gill,12.4,1992-11-17,24-176,CHH,,DAL,"W, 134-111",*,24,7,15,.467,7,14,.500,0,1,.000,4,4,1.000,.537,2,3,5,2,0,0,0,4,18,12.4,-1.7,,G
,Kendall Gill,12.4,1993-01-02,24-222,CHH,,NJN,"W, 118-117",*,37,6,16,.375,6,16,.375,0,0,,5,6,.833,.456,0,6,6,6,2,0,3,1,17,12.4,-4.5,,G
,Kendall Gill,12.4,1993-01-27,24-247,CHH,,SAC,"W, 117-107",*,31,4,12,.333,4,12,.333,0,0,,7,9,.778,.470,2,5,7,3,1,0,1,0,15,12.4,1.6,,G
,Kendall Gill,12.4,1993-05-05,24-345,CHH,,BOS,"W, 104-103",*,38,7,19,.368,7,19,.368,0,0,,4,5,.800,.425,1,1,2,3,2,2,0,3,18,12.4,-1.4,,G
,Kendall Gill,12.4,1991-11-01,23-160,CHH,@,BOS,"L, 108-111",*,30,6,10,.600,6,10,.600,0,0,,6,8,.750,.666,0,0,0,2,1,0,1,4,18,12.4,2.1,,G
,Jason Hart,12.4,2005-03-24,26-329,CHA,@,ORL,"W, 108-94",,27,6,10,.600,3,5,.600,3,5,.600,3,3,1.000,.795,0,1,1,1,1,0,1,5,18,12.4,3.4,13,G
,Hersey Hawkins,12.4,1994-11-17,28-049,CHH,,LAC,"W, 99-83",*,29,3,7,.429,2,5,.400,1,2,.500,10,10,1.000,.746,0,2,2,3,1,0,3,4,17,12.4,3.3,,G
,Hersey Hawkins,12.4,1994-02-05,27-129,CHH,@,IND,"L, 102-111",*,39,7,13,.538,7,10,.700,0,3,.000,2,3,.667,.559,1,0,1,5,1,1,2,2,16,12.4,0.4,,G
,Gordon Hayward,12.4,2022-10-19,32-210,CHO,@,SAS,"W, 129-102",*,29,6,11,.545,5,7,.714,1,4,.250,7,7,1.000,.710,0,5,5,2,1,0,5,3,20,12.4,-4.5,7,F-G
,Gerald Henderson,12.4,2014-01-29,26-051,CHA,@,DEN,"W, 101-98",*,35,6,17,.353,5,15,.333,1,2,.500,3,4,.750,.426,0,8,8,5,0,2,1,0,16,12.4,2.3,1,G
,Michael Holton,12.4,1988-11-15,27-103,CHH,,NJN,"L, 99-106",*,37,5,11,.455,5,11,.455,0,0,,2,3,.667,.487,0,1,1,10,2,0,2,2,12,12.4,1.6,,G
,Dwight Howard,12.4,2018-01-05,32-028,CHO,@,LAL,"W, 108-94",*,28,6,11,.545,6,11,.545,0,0,,3,5,.600,.568,4,6,10,1,0,2,2,3,15,12.4,0.3,12,C
,Dwight Howard,12.4,2018-02-25,32-079,CHO,,DET,"W, 114-98",*,23,8,10,.800,8,10,.800,0,0,,1,2,.500,.781,4,8,12,0,0,0,4,4,17,12.4,-1.6,5,C
,Stephen Jackson,12.4,2011-02-15,32-316,CHA,@,CHI,"L, 94-106",*,38,7,16,.438,7,14,.500,0,2,.000,6,6,1.000,.536,1,3,4,6,0,0,3,5,20,12.4,-3.9,-13,F-G
,Stephen Jackson,12.4,2010-12-27,32-266,CHA,,DET,"W, 105-100",*,40,9,17,.529,5,10,.500,4,7,.571,1,2,.500,.643,0,9,9,4,2,0,9,1,23,12.4,-5.1,-5,F-G
,Eddie Johnson,12.4,1993-12-28,34-241,CHH,@,CLE,"L, 115-127 (OT)",*,29,7,13,.538,5,9,.556,2,4,.500,3,4,.750,.644,1,3,4,1,0,0,1,3,19,12.4,1.2,,F-G
,Larry Johnson,12.4,1993-12-11,24-272,CHH,,NJN,"W, 105-99",*,39,9,15,.600,9,14,.643,0,1,.000,2,4,.500,.597,4,8,12,1,1,0,6,2,20,12.4,-3.1,,F
,Larry Johnson,12.4,1993-12-23,24-284,CHH,,BOS,"W, 118-100",*,38,8,14,.571,8,14,.571,0,0,,0,0,,.571,0,8,8,3,1,1,2,3,16,12.4,-0.2,,F
,Larry Johnson,12.4,1992-11-11,23-242,CHH,,BOS,"L, 99-109",*,40,4,14,.286,4,14,.286,0,0,,7,8,.875,.428,3,12,15,3,0,0,1,2,15,12.4,-2.5,,F
,Ryan Kalkbrenner,12.4,2025-11-19,23-306,CHO,@,IND,"L, 118-127",*,25,4,5,.800,4,5,.800,0,0,,2,3,.667,.791,5,4,9,0,0,0,0,0,10,12.4,0.0,-11,C
,Frank Kaminsky,12.4,2019-04-09,26-005,CHO,@,CLE,"W, 124-97",,23,3,5,.600,1,2,.500,2,3,.667,6,8,.750,.822,1,4,5,4,1,0,3,3,14,12.4,0.9,12,F-C
,Michael Kidd-Gilchrist,12.4,2017-02-09,23-136,CHO,,HOU,"L, 95-107",*,35,4,9,.444,4,9,.444,0,0,,0,0,,.444,4,5,9,4,1,2,0,1,8,12.4,4.8,-9,F
,Michael Kidd-Gilchrist,12.4,2018-04-01,24-187,CHO,,PHI,"L, 102-119",*,32,6,13,.462,6,13,.462,0,0,,4,4,1.000,.542,1,4,5,0,2,0,0,2,16,12.4,0.0,-21,F
,Brevin Knight,12.4,2005-03-30,29-142,CHA,,CHI,"L, 99-102",*,32,1,6,.167,1,6,.167,0,0,,4,4,1.000,.387,0,3,3,15,3,0,3,3,6,12.4,0.5,2,G
,Brevin Knight,12.4,2006-02-22,30-106,CHA,@,POR,"W, 110-106",*,40,3,10,.300,3,10,.300,0,0,,2,2,1.000,.368,0,3,3,13,2,0,1,2,8,12.4,-2.8,-5,G
,Jeremy Lamb,12.4,2017-03-28,24-302,CHO,,MIL,"L, 108-118",,26,6,11,.545,5,8,.625,1,3,.333,3,4,.750,.627,0,3,3,2,1,0,0,3,16,12.4,1.1,-4,G-F
,Jeremy Lamb,12.4,2017-12-23,25-207,CHO,,MIL,"W, 111-106",,19,4,5,.800,4,4,1.000,0,1,.000,5,5,1.000,.903,0,2,2,1,0,0,0,0,13,12.4,9.4,5,G-F
,Jeremy Lamb,12.4,2018-03-06,25-280,CHO,,PHI,"L, 114-128",,18,3,5,.600,1,3,.333,2,2,1.000,2,2,1.000,.850,0,2,2,3,2,0,0,0,10,12.4,15.8,-6,G-F
,Jamaal Magloire,12.4,2002-01-21,23-245,CHH,@,NYK,"W, 111-68",,18,3,6,.500,3,6,.500,0,0,,6,6,1.000,.694,2,3,5,1,1,2,0,5,12,12.4,10.9,14,C
,Jamaal Magloire,12.4,2002-02-18,23-273,CHH,@,MIL,"W, 101-92",,17,2,5,.400,2,5,.400,0,0,,6,8,.750,.587,4,4,8,1,3,0,1,2,10,12.4,10.7,-4,C
,Tre Mann,12.4,2025-10-22,24-261,CHO,,BRK,"W, 136-117",,21,4,7,.571,2,4,.500,2,3,.667,2,3,.667,.721,1,2,3,6,1,0,2,1,12,12.4,8.9,15,G
,Cody Martin,12.4,2023-12-29,28-092,CHO,@,PHO,"L, 119-133",,27,5,10,.500,2,6,.333,3,4,.750,0,0,,.650,3,1,4,1,2,1,1,1,13,12.4,1.4,-10,G-F
,Anthony Mason,12.4,1997-11-19,30-340,CHH,,POR,"W, 106-92",*,42,3,7,.429,3,7,.429,0,0,,3,7,.429,.446,2,13,15,6,2,0,2,2,9,12.4,2.4,8,F
,Jalen McDaniels,12.4,2023-01-04,24-338,CHO,,MEM,"L, 107-131",*,27,6,11,.545,5,6,.833,1,5,.200,3,4,.750,.627,0,7,7,0,2,2,3,1,16,12.4,0.0,-27,F
,Brandon Miller,12.4,2026-04-12,23-141,CHO,@,NYK,"W, 110-96",*,27,5,12,.417,2,4,.500,3,8,.375,6,7,.857,.630,1,2,3,2,1,1,3,3,19,12.4,1.1,8,F-G
,Brandon Miller,12.4,2024-02-10,21-080,CHO,,MEM,"W, 115-106",*,31,7,9,.778,4,5,.800,3,4,.750,1,1,1.000,.953,0,6,6,1,0,0,3,4,18,12.4,-1.4,0,F-G
,Johnny Newman,12.4,1993-03-07,29-099,CHH,@,LAL,"W, 105-101",,19,6,10,.600,6,10,.600,0,0,,3,4,.750,.638,1,1,2,2,0,2,1,1,15,12.4,9.7,,F-G
,Emeka Okafor,12.4,2009-02-18,26-143,CHA,,IND,"W, 103-94",*,21,5,12,.417,5,12,.417,0,0,,2,2,1.000,.466,2,10,12,2,0,4,1,2,12,12.4,4.7,5,C-F
,Ricky Pierce,12.4,1997-03-21,37-214,CHH,@,TOR,"W, 102-97",*,21,4,7,.571,4,7,.571,0,0,,8,9,.889,.730,0,3,3,0,0,0,0,2,16,12.4,5.5,5,G
,Mason Plumlee,12.4,2022-11-02,32-242,CHO,@,CHI,"L, 88-106",*,25,4,8,.500,4,8,.500,0,0,,3,4,.750,.564,4,9,13,3,0,2,2,3,11,12.4,1.0,1,C-F
,Kurt Rambis,12.4,1989-02-28,31-003,CHH,,BOS,"L, 87-112",*,31,4,10,.400,4,10,.400,0,0,,0,0,,.400,5,7,12,2,5,0,1,3,8,12.4,1.6,,F
,J.R. Reid,12.4,1992-02-04,23-310,CHH,,WSB,"W, 115-99",,24,5,10,.500,5,10,.500,0,0,,5,6,.833,.593,2,5,7,1,0,0,0,2,15,12.4,1.7,,F
,J.R. Reid,12.4,1990-11-09,22-223,CHH,@,MIN,"L, 77-106",*,29,6,10,.600,6,10,.600,0,0,,2,2,1.000,.643,2,8,10,0,1,2,2,3,14,12.4,4.3,,F
,J.R. Reid,12.4,1991-02-27,22-333,CHH,@,SAC,"W, 96-90",*,35,7,11,.636,7,11,.636,0,0,,4,5,.800,.682,3,3,6,3,0,0,3,6,18,12.4,0.7,,F
,Glen Rice,12.4,1996-04-14,28-322,CHH,@,PHI,"W, 94-78",*,38,7,16,.438,4,11,.364,3,5,.600,2,2,1.000,.563,2,4,6,4,1,0,3,4,19,12.4,-0.4,,F
,Jason Richardson,12.4,2008-12-03,27-318,CHA,,OKC,"W, 103-97",*,40,8,16,.500,8,14,.571,0,2,.000,2,2,1.000,.533,0,4,4,2,2,0,1,3,18,12.4,-0.8,13,G
,Nick Richards,12.4,2024-10-26,26-332,CHO,,MIA,"L, 106-114",*,35,5,8,.625,5,7,.714,0,1,.000,2,3,.667,.644,4,8,12,1,1,3,3,4,12,12.4,-0.3,-8,F-C
,Brian Roberts,12.4,2015-01-24,29-052,CHO,,NYK,"W, 76-71",*,33,5,9,.556,4,7,.571,1,2,.500,6,6,1.000,.730,0,3,3,3,0,1,4,0,17,12.4,4.2,8,G
,Bernard Robinson,12.4,2006-02-06,25-042,CHA,,SEA,"W, 119-106",,27,6,12,.500,5,11,.455,1,1,1.000,3,4,.750,.581,1,1,2,2,2,0,0,4,16,12.4,1.1,10,G-F
,Eddie Robinson,12.4,2000-02-01,23-288,CHH,@,HOU,"L, 83-99",,30,5,8,.625,5,8,.625,0,0,,2,2,1.000,.676,0,2,2,1,3,1,1,0,12,12.4,8.5,-5,G-F
,Ramon Sessions,12.4,2013-11-15,27-218,CHA,@,CLE,"W, 86-80",,19,4,7,.571,3,6,.500,1,1,1.000,3,4,.750,.685,0,2,2,7,3,0,4,1,12,12.4,15.5,21,G
,Dennis Smith Jr.,12.4,2022-10-26,24-335,CHO,@,NYK,"L, 131-134 (OT)",*,37,7,16,.438,7,13,.538,0,3,.000,0,2,.000,.415,0,3,3,11,2,0,1,5,14,12.4,-3.2,-5,G
,Dennis Smith Jr.,12.4,2022-11-02,24-342,CHO,@,CHI,"L, 88-106",*,32,5,9,.556,5,8,.625,0,1,.000,0,0,,.556,0,5,5,6,2,0,1,0,10,12.4,0.1,0,G
,Lance Stephenson,12.4,2014-12-03,24-089,CHO,,CHI,"L, 95-102",*,40,9,18,.500,9,16,.563,0,2,.000,2,2,1.000,.530,1,7,8,4,1,0,4,3,20,12.4,-1.3,-9,G-F
,Jake Voskuhl,12.4,2006-01-30,28-090,CHA,,CLE,"L, 91-103",,26,4,4,1.000,4,4,1.000,0,0,,0,0,,1.000,6,6,12,3,0,1,2,3,8,12.4,4.8,6,C
,Kemba Walker,12.4,2014-11-23,24-199,CHO,@,MIA,"L, 93-94",*,36,6,15,.400,4,9,.444,2,6,.333,2,2,1.000,.504,2,5,7,4,3,0,3,3,16,12.4,1.4,2,G
,Kemba Walker,12.4,2012-03-19,21-316,CHA,,PHI,"L, 80-105",,23,5,11,.455,4,10,.400,1,1,1.000,2,2,1.000,.547,2,2,4,5,0,0,0,1,13,12.4,6.1,-7,G
