Rk,Player,GmSc,Date,Age,Team, ,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.
,Gerald Wallace,29.1,2007-04-08,24-259,CHA,@,MIA,"W, 111-103 (OT)",*,48,10,15,.667,7,10,.700,3,5,.600,7,9,.778,.791,2,6,8,1,4,1,1,3,30,29.1,12.8,9,F
,LaMelo Ball,29.0,2021-02-05,19-167,CHO,,UTA,"L, 121-138",*,39,14,27,.519,10,18,.556,4,9,.444,2,3,.667,.600,2,2,4,8,2,1,0,4,34,29.0,11.0,-1,G
,Kendall Gill,29.0,1992-02-13,23-264,CHH,@,MIL,"L, 118-127",*,43,13,21,.619,13,21,.619,0,0,,4,7,.571,.623,2,4,6,7,7,0,4,2,30,29.0,10.2,,G
,Gordon Hayward,29.0,2021-01-24,30-307,CHO,@,ORL,"W, 107-104",*,38,15,25,.600,10,17,.588,5,8,.625,4,8,.500,.684,2,7,9,1,1,1,2,2,39,29.0,10.2,-3,F-G
,Stephen Jackson,29.0,2010-12-29,32-268,CHA,,CLE,"W, 101-92",*,40,11,24,.458,8,17,.471,3,7,.429,13,15,.867,.621,0,6,6,4,2,0,2,1,38,29.0,11.4,10,F-G
,Larry Johnson,29.0,1995-12-09,26-270,CHH,,MIN,"W, 114-108",*,38,15,20,.750,12,17,.706,3,3,1.000,2,5,.400,.788,4,7,11,2,0,1,3,2,35,29.0,10.8,,F
,Kelly Tripucka,29.0,1989-04-01,30-044,CHH,,POR,"L, 121-125 (OT)",*,43,11,21,.524,11,21,.524,0,0,,16,18,.889,.657,1,2,3,4,2,0,2,5,38,29.0,7.0,,F-G
,Kemba Walker,29.0,2016-11-15,26-191,CHO,@,MIN,"W, 115-108",*,35,12,19,.632,10,16,.625,2,3,.667,4,4,1.000,.723,0,5,5,6,5,0,2,3,30,29.0,13.8,20,G
,Vlade Divac,28.9,1997-03-06,29-031,CHH,,BOS,"W, 122-121 (OT)",*,43,10,18,.556,10,17,.588,0,1,.000,3,4,.750,.582,5,13,18,9,2,4,2,4,23,28.9,10.0,8,C
,Larry Johnson,28.9,1995-11-14,26-245,CHH,@,ATL,"L, 104-111",*,39,11,19,.579,9,16,.563,2,3,.667,10,14,.714,.676,4,2,6,4,1,0,1,2,34,28.9,10.4,,F
,Johnny Newman,28.9,1993-04-21,29-144,CHH,,MIL,"W, 119-111",*,36,10,14,.714,10,13,.769,0,1,.000,10,10,1.000,.815,2,1,3,7,0,1,1,4,30,28.9,11.5,,F-G
,Glen Rice,28.9,1997-02-17,29-265,CHH,,ORL,"W, 124-110",*,46,12,24,.500,6,13,.462,6,11,.545,10,10,1.000,.704,1,2,3,2,2,0,3,2,40,28.9,1.4,17,F
,Kemba Walker,28.9,2015-03-30,24-326,CHO,,BOS,"L, 104-116",*,40,9,20,.450,7,12,.583,2,8,.250,8,9,.889,.584,1,2,3,12,2,0,0,0,28,28.9,12.6,-3,G
,Gerald Wallace,28.9,2007-04-06,24-257,CHA,,IND,"L, 102-112",*,45,10,18,.556,9,15,.600,1,3,.333,8,14,.571,.600,3,6,9,2,5,2,0,2,29,28.9,12.0,-6,F
,Muggsy Bogues,28.8,1994-12-29,29-354,CHH,,ORL,"W, 125-123",*,43,7,12,.583,7,12,.583,0,0,,4,4,1.000,.654,2,3,5,17,4,0,1,2,18,28.8,10.5,,G
,Miles Bridges,28.8,2022-03-11,23-355,CHO,@,NOP,"W, 142-120",*,29,9,15,.600,5,7,.714,4,8,.500,4,5,.800,.756,2,6,8,9,1,0,0,1,26,28.8,16.1,27,G-F
,Eddie Jones,28.8,2000-02-09,28-112,CHH,,CLE,"W, 103-95",*,43,12,19,.632,9,15,.600,3,4,.750,5,5,1.000,.755,0,3,3,5,4,1,3,2,32,28.8,11.5,9,G-F
,Gerald Wallace,28.8,2010-01-16,27-177,CHA,,PHO,"W, 125-99",*,31,11,15,.733,9,13,.692,2,2,1.000,5,6,.833,.822,3,10,13,1,1,1,0,3,29,28.8,15.8,22,F
,LaMelo Ball,28.7,2021-12-01,20-101,CHO,@,MIL,"L, 125-127",*,41,12,22,.545,4,7,.571,8,15,.533,4,4,1.000,.758,1,4,5,9,3,1,7,4,36,28.7,8.9,2,G
,Gordon Hayward,28.7,2023-11-10,33-232,CHO,@,WAS,"W, 124-117",*,36,10,20,.500,9,16,.563,1,4,.250,6,8,.750,.574,0,5,5,9,4,1,0,0,27,28.7,14.2,16,F-G
,Eddie Jones,28.7,2000-04-04,28-167,CHH,,BOS,"W, 112-105",*,44,7,10,.700,5,6,.833,2,4,.500,9,10,.900,.868,0,5,5,8,3,2,2,3,25,28.7,12.7,10,G-F
,Jeremy Lamb,28.7,2018-12-26,26-210,CHO,@,BRK,"L, 132-134 (2OT)",*,49,11,18,.611,8,15,.533,3,3,1.000,6,7,.857,.735,2,4,6,3,2,0,0,1,31,28.7,8.5,1,G-F
,Gerald Wallace,28.7,2010-01-05,27-166,CHA,,CHI,"W, 113-108",*,45,10,16,.625,8,13,.615,2,3,.667,10,11,.909,.768,1,8,9,2,1,2,1,4,32,28.7,7.2,2,F
,Raymond Felton,28.6,2006-03-22,21-269,CHA,@,CLE,"L, 118-120 (OT)",*,46,12,21,.571,11,17,.647,1,4,.250,5,8,.625,.612,2,5,7,10,5,0,4,3,30,28.6,10.0,4,G
,Sean May,28.6,2006-12-14,22-254,CHA,,ORL,"W, 99-89",,31,9,15,.600,9,15,.600,0,0,,14,17,.824,.712,5,1,6,2,1,1,1,3,32,28.6,17.1,7,F-C
,Alonzo Mourning,28.6,1995-02-27,25-019,CHH,@,SEA,"W, 116-114",*,44,9,14,.643,7,12,.583,2,2,1.000,14,17,.824,.791,2,7,9,0,1,1,2,3,34,28.6,4.9,,C-F
,Johnny Newman,28.6,1991-02-22,27-086,CHH,,DET,"W, 122-114",*,43,9,12,.750,8,11,.727,1,1,1.000,8,9,.889,.846,1,5,6,8,1,0,0,5,27,28.6,9.2,,F-G
,Terry Rozier,28.6,2021-02-20,26-340,CHO,,GSW,"W, 102-100",*,39,12,19,.632,4,8,.500,8,11,.727,4,4,1.000,.867,0,3,3,4,1,0,2,4,36,28.6,13.9,8,G
,Miles Bridges,28.5,2021-11-03,23-227,CHO,@,GSW,"L, 92-114",*,38,12,22,.545,7,13,.538,5,9,.556,3,4,.750,.673,1,8,9,2,2,2,0,1,32,28.5,18.5,-9,G-F
,Baron Davis,28.5,2002-04-30,23-017,CHH,@,ORL,"W, 102-85",*,46,10,19,.526,8,14,.571,2,5,.400,6,8,.750,.622,2,9,11,10,3,1,3,3,28,28.5,13.4,18,G
,Kon Knueppel,28.5,2025-12-12,20-131,CHO,,CHI,"L, 126-129",*,36,12,21,.571,7,9,.778,5,12,.417,4,4,1.000,.725,2,3,5,9,0,0,2,3,33,28.5,9.9,8,G-F
,Terry Rozier,28.5,2022-03-05,27-353,CHO,,SAS,"W, 123-117",*,35,10,18,.556,4,10,.400,6,8,.750,5,5,1.000,.767,2,3,5,6,1,0,1,1,31,28.5,12.8,2,G
,Nick Smith Jr.,28.5,2025-04-09,20-356,CHO,@,TOR,"L, 96-126",*,37,8,13,.615,2,4,.500,6,9,.667,6,6,1.000,.895,0,6,6,10,0,0,2,1,28,28.5,13.0,-19,G
,Kemba Walker,28.5,2017-03-26,26-322,CHO,,PHO,"W, 120-106",*,38,10,18,.556,6,9,.667,4,9,.444,7,7,1.000,.735,0,4,4,8,0,1,1,1,31,28.5,10.3,31,G
,LaMelo Ball,28.4,2022-12-29,21-129,CHO,,OKC,"W, 121-113",*,36,9,15,.600,4,5,.800,5,10,.500,4,4,1.000,.805,2,8,10,9,1,2,3,3,27,28.4,13.4,14,G
