Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Terance Mann,26.9,2020-08-14,LAC,,OKC,W,41.9,8,12,0.667,1,3,0.333,8,13,0.615,4,10,14,9,2,0,3,5,25
James Harden,22.3,2020-08-14,HOU,,PHI,L,26.283333333333335,9,16,0.563,4,9,0.444,5,5,1.0,0,3,3,10,1,2,7,1,27
Hamidou Diallo,17.1,2020-08-14,OKC,@,LAC,L,39.78333333333333,10,22,0.455,4,8,0.5,3,5,0.6,4,7,11,1,0,1,2,5,27
PJ Dozier,24.2,2020-08-14,DEN,@,TOR,L,30.8,6,9,0.667,5,6,0.833,3,3,1.0,0,5,5,8,2,0,1,0,20
Stanley Johnson,14.7,2020-08-14,TOR,,DEN,W,28.566666666666666,9,16,0.563,4,8,0.5,1,3,0.333,0,4,4,6,1,1,5,5,23
Amir Coffey,14.4,2020-08-14,LAC,,OKC,W,49.638333333333335,7,17,0.412,2,8,0.25,5,8,0.625,0,2,2,4,4,1,2,6,21
Kendrick Nunn,9.4,2020-08-14,MIA,@,IND,L,32.96666666666667,8,27,0.296,1,9,0.111,6,6,1.0,1,1,2,4,3,1,5,1,23
Alize Johnson,13.4,2020-08-14,IND,,MIA,W,38.31666666666667,3,8,0.375,2,5,0.4,3,4,0.75,7,10,17,4,0,1,3,3,11
Paul Watson,18.1,2020-08-14,TOR,,DEN,W,27.466666666666665,8,13,0.615,4,6,0.667,2,3,0.667,0,6,6,2,1,0,1,2,22
Patrick Patterson,9.2,2020-08-14,LAC,,OKC,W,38.9,4,16,0.25,4,11,0.364,5,6,0.833,3,11,14,0,0,0,2,3,17
Alec Burks,18.5,2020-08-14,PHI,@,HOU,W,22.15,6,11,0.545,4,6,0.667,0,0,0.0,2,3,5,5,2,0,0,0,16
Solomon Hill,15.3,2020-08-14,MIA,@,IND,L,40.56666666666667,5,13,0.385,1,4,0.25,10,12,0.833,2,5,7,3,1,0,3,2,21
Doug McDermott,16.4,2020-08-14,IND,,MIA,W,21.883333333333333,8,16,0.5,5,11,0.455,2,3,0.667,1,3,4,0,1,0,0,2,23
Tobias Harris,19.3,2020-08-14,PHI,@,HOU,W,23.966666666666665,6,10,0.6,2,3,0.667,4,4,1.0,0,7,7,4,1,0,0,0,18
Malcolm Brogdon,11.2,2020-08-14,IND,,MIA,W,24.516666666666666,6,14,0.429,4,7,0.571,0,0,0.0,2,4,6,6,0,0,3,3,16
Monte Morris,11.1,2020-08-14,DEN,@,TOR,L,29.85,4,14,0.286,2,7,0.286,6,6,1.0,0,6,6,4,0,1,2,0,16
Norman Powell,12.6,2020-08-14,TOR,,DEN,W,22.8,6,9,0.667,3,5,0.6,0,0,0.0,1,5,6,2,1,1,3,2,15
Terence Davis,8.0,2020-08-14,TOR,,DEN,W,34.03333333333333,5,15,0.333,2,6,0.333,2,2,1.0,1,5,6,3,2,0,3,2,14
Rodney McGruder,7.2,2020-08-14,LAC,,OKC,W,51.266666666666666,2,11,0.182,1,5,0.2,4,6,0.667,3,8,11,2,2,0,2,0,9
Dennis Schröder,11.5,2020-08-14,OKC,@,LAC,L,25.483333333333334,6,12,0.5,3,3,1.0,2,2,1.0,0,1,1,4,1,0,2,4,17
Devon Hall,8.7,2020-08-14,OKC,@,LAC,L,24.266666666666666,4,12,0.333,3,6,0.5,1,4,0.25,1,0,1,4,3,0,1,2,12
JaMychal Green,6.5,2020-08-14,LAC,,OKC,W,27.416666666666668,5,11,0.455,3,6,0.5,0,0,0.0,0,8,8,0,1,0,3,3,13
Jeff Green,16.1,2020-08-14,HOU,,PHI,L,25.133333333333333,8,10,0.8,0,2,0.0,1,1,1.0,0,0,0,4,1,1,0,4,17
Joel Embiid,5.6,2020-08-14,PHI,@,HOU,W,22.851666666666667,6,12,0.5,0,0,0.0,2,3,0.667,2,4,6,1,1,1,5,5,14
Keita Bates-Diop,6.3,2020-08-14,DEN,@,TOR,L,24.35,3,11,0.273,1,4,0.25,4,4,1.0,2,4,6,0,1,2,2,3,11
Darius Bazley,4.9,2020-08-14,OKC,@,LAC,L,30.783333333333335,3,12,0.25,2,5,0.4,1,3,0.333,1,7,8,1,0,2,1,0,9
Bruno Caboclo,6.4,2020-08-14,HOU,,PHI,L,16.6,4,9,0.444,1,4,0.25,2,2,1.0,1,5,6,0,2,1,4,2,11
Mason Plumlee,11.7,2020-08-14,DEN,@,TOR,L,19.7,4,6,0.667,0,0,0.0,2,3,0.667,1,2,3,2,0,4,0,2,10
Matisse Thybulle,11.1,2020-08-14,PHI,@,HOU,W,17.683333333333334,3,4,0.75,1,2,0.5,0,0,0.0,1,1,2,1,4,2,1,1,7
Chris Silva,7.3,2020-08-14,MIA,@,IND,L,24.483333333333334,2,4,0.5,0,0,0.0,1,4,0.25,4,7,11,1,0,3,1,3,5
Raul Neto,13.6,2020-08-14,PHI,@,HOU,W,18.733333333333334,4,8,0.5,1,3,0.333,5,7,0.714,0,3,3,5,0,0,0,0,14
Paul Millsap,9.6,2020-08-14,DEN,@,TOR,L,15.5,4,8,0.5,2,3,0.667,0,0,0.0,1,2,3,2,2,1,1,2,10
Justin Holiday,8.6,2020-08-14,IND,,MIA,W,23.85,3,5,0.6,3,5,0.6,2,2,1.0,0,7,7,0,1,0,2,3,11
Tyler Herro,6.2,2020-08-14,MIA,@,IND,L,27.933333333333334,6,16,0.375,3,8,0.375,1,1,1.0,1,0,1,3,0,0,3,2,16
Aaron Holiday,10.3,2020-08-14,IND,,MIA,W,17.283333333333335,5,7,0.714,1,3,0.333,0,0,0.0,0,2,2,2,3,0,2,2,11
Joakim Noah,7.6,2020-08-14,LAC,,OKC,W,28.983333333333334,4,7,0.571,0,0,0.0,1,2,0.5,1,5,6,5,1,0,4,1,9
Eric Gordon,8.9,2020-08-14,HOU,,PHI,L,23.4,4,10,0.4,3,6,0.5,2,2,1.0,0,2,2,2,0,1,1,1,13
