Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephon Marbury,35.5,1999-05-05,NJN,,MIL,W,46.225,13,24,0.542,4,10,0.4,11,14,0.786,1,1,2,11,0,0,1,1,41
Vlade Divac,27.0,1999-05-05,SAC,,VAN,W,40.38333333333333,9,14,0.643,0,0,0.0,11,19,0.579,4,13,17,4,2,1,4,2,29
Tyrone Nesby,31.0,1999-05-05,LAC,,SEA,L,42.85,13,17,0.765,2,3,0.667,2,4,0.5,1,3,4,4,7,1,2,4,30
Glen Rice,34.4,1999-05-05,LAL,,POR,W,38.266666666666666,14,20,0.7,8,10,0.8,4,4,1.0,0,5,5,3,0,0,0,2,40
Doug Christie,23.8,1999-05-05,TOR,,CLE,W,39.68666666666667,8,17,0.471,4,7,0.571,6,6,1.0,3,2,5,6,4,2,5,2,26
Dana Barros,24.7,1999-05-05,BOS,,CHH,L,51.906666666666666,8,17,0.471,4,9,0.444,6,7,0.857,2,5,7,9,3,0,4,1,26
Hakeem Olajuwon,16.5,1999-05-05,HOU,@,DEN,W,40.515,6,14,0.429,0,0,0.0,1,4,0.25,4,13,17,3,2,7,2,4,13
Brad Miller,27.8,1999-05-05,CHH,@,BOS,W,38.266666666666666,9,16,0.563,0,0,0.0,14,17,0.824,3,10,13,4,0,1,2,5,32
Paul Pierce,25.7,1999-05-05,BOS,,CHH,L,44.55,11,21,0.524,2,7,0.286,3,4,0.75,5,4,9,5,2,2,1,3,27
David Robinson,22.3,1999-05-05,SAS,@,GSW,W,39.56,8,16,0.5,0,0,0.0,7,9,0.778,4,16,20,1,2,0,1,3,23
Antoine Walker,17.8,1999-05-05,BOS,,CHH,L,43.333333333333336,9,22,0.409,4,5,0.8,1,4,0.25,2,6,8,7,2,1,1,5,23
Nick Van Exel,27.9,1999-05-05,DEN,,HOU,L,43.81666666666667,16,24,0.667,2,6,0.333,1,2,0.5,0,2,2,7,1,0,2,2,35
Ricky Davis,24.8,1999-05-05,CHH,@,BOS,W,40.766666666666666,12,20,0.6,0,0,0.0,8,9,0.889,2,5,7,2,1,1,2,4,32
Allen Iverson,21.0,1999-05-05,PHI,,DET,W,50.336666666666666,11,28,0.393,2,6,0.333,9,10,0.9,1,4,5,1,2,0,1,0,33
Grant Hill,16.1,1999-05-05,DET,@,PHI,L,43.28333333333333,10,22,0.455,0,0,0.0,7,8,0.875,1,6,7,7,0,1,6,3,27
Matt Geiger,16.8,1999-05-05,PHI,,DET,W,42.968333333333334,9,20,0.45,0,1,0.0,2,2,1.0,7,9,16,6,0,0,3,4,20
Terrell Brandon,19.1,1999-05-05,MIN,@,PHX,L,29.35,8,17,0.471,0,4,0.0,0,0,0.0,2,4,6,13,2,1,1,4,16
Antonio McDyess,8.4,1999-05-05,DEN,,HOU,L,41.916666666666664,7,23,0.304,0,1,0.0,2,6,0.333,6,14,20,1,0,2,2,3,16
Ron Mercer,16.3,1999-05-05,BOS,,CHH,L,53.721666666666664,11,22,0.5,0,3,0.0,1,2,0.5,2,8,10,4,1,1,2,4,23
Michael Dickerson,23.5,1999-05-05,HOU,@,DEN,W,44.55,11,16,0.688,5,6,0.833,0,0,0.0,2,4,6,3,0,0,1,1,27
Eric Snow,18.3,1999-05-05,PHI,,DET,W,47.06666666666667,9,18,0.5,1,2,0.5,1,1,1.0,2,3,5,10,2,0,2,5,20
Antawn Jamison,17.9,1999-05-05,GSW,,SAS,L,36.416666666666664,10,23,0.435,0,0,0.0,2,2,1.0,9,7,16,0,1,0,1,1,22
Tim Duncan,18.9,1999-05-05,SAS,@,GSW,W,43.38333333333333,10,22,0.455,0,0,0.0,8,8,1.0,2,8,10,0,0,1,1,3,28
Danny Ferry,20.1,1999-05-05,CLE,@,TOR,L,40.67,9,13,0.692,3,4,0.75,1,2,0.5,1,7,8,3,1,1,1,4,22
Mitchell Butler,15.6,1999-05-05,CLE,@,TOR,L,37.31333333333333,8,16,0.5,3,5,0.6,2,2,1.0,0,4,4,5,2,1,4,2,21
Troy Hudson,16.7,1999-05-05,LAC,,SEA,L,47.55,7,17,0.412,1,4,0.25,4,4,1.0,1,3,4,10,2,0,3,2,19
Grant Long,16.9,1999-05-05,ATL,,WAS,W,42.81666666666667,9,21,0.429,0,1,0.0,4,4,1.0,6,6,12,2,1,0,2,1,22
Kevin Garnett,17.7,1999-05-05,MIN,@,PHX,L,32.21666666666667,9,13,0.692,1,1,1.0,1,1,1.0,0,11,11,3,1,0,2,3,20
Jason Kidd,16.7,1999-05-05,PHX,,MIN,W,35.016666666666666,5,12,0.417,1,1,1.0,6,11,0.545,2,3,5,6,4,0,2,1,17
Detlef Schrempf,21.2,1999-05-05,SEA,@,LAC,W,31.233333333333334,9,10,0.9,1,2,0.5,2,4,0.5,0,10,10,4,0,0,1,1,21
Eddie Jones,19.0,1999-05-05,CHH,@,BOS,W,40.95,7,15,0.467,0,1,0.0,7,8,0.875,2,4,6,7,1,0,2,1,21
