Player,GmSc,Date,Team,home_away,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brandon Ingram,36.4,2023-04-09,NOP,@,MIN,L,42.21666666666667,16,28,0.571,1,3,0.333,9,9,1.0,3,9,12,7,2,1,4,2,42
Payton Pritchard,24.2,2023-04-09,BOS,,ATL,W,45.88333333333333,10,21,0.476,9,16,0.563,1,1,1.0,1,13,14,11,0,0,7,1,30
Anthony Edwards,17.6,2023-04-09,MIN,,NOP,W,39.083333333333336,8,21,0.381,3,9,0.333,7,13,0.538,3,10,13,4,4,4,8,3,26
LeBron James,29.8,2023-04-09,LAL,,UTA,W,33.221666666666664,13,25,0.52,8,14,0.571,2,2,1.0,1,5,6,6,1,1,2,0,36
Cam Thomas,30.7,2023-04-09,BKN,,PHI,L,42.75,16,29,0.552,6,8,0.75,8,8,1.0,0,2,2,1,1,1,4,1,46
Kenneth Lofton Jr.,34.1,2023-04-09,MEM,@,OKC,L,40.35,17,25,0.68,0,2,0.0,8,12,0.667,6,8,14,0,1,0,2,3,42
Theo Pinson,27.9,2023-04-09,DAL,,SAS,L,40.416666666666664,8,16,0.5,5,10,0.5,2,2,1.0,2,11,13,12,1,0,0,3,23
Obi Toppin,29.3,2023-04-09,NYK,,IND,L,36.55,13,23,0.565,5,10,0.5,3,3,1.0,1,6,7,5,2,0,1,2,34
Tre Mann,25.0,2023-04-09,OKC,,MEM,W,46.733333333333334,9,16,0.563,1,4,0.25,5,5,1.0,1,11,12,12,2,0,5,2,24
Immanuel Quickley,21.6,2023-04-09,NYK,,IND,L,36.78333333333333,9,22,0.409,3,11,0.273,9,9,1.0,0,9,9,7,2,0,5,3,30
Sam Hauser,24.4,2023-04-09,BOS,,ATL,W,38.266666666666666,9,16,0.563,8,14,0.571,0,0,0.0,1,4,5,6,1,1,1,2,26
Kris Dunn,23.6,2023-04-09,UTA,@,LAL,L,40.266666666666666,11,18,0.611,2,3,0.667,2,2,1.0,0,10,10,8,1,0,3,2,26
Mitchell Robinson,17.5,2023-04-09,NYK,,IND,L,27.183333333333334,4,10,0.4,0,0,0.0,1,4,0.25,14,6,20,2,1,7,3,2,9
Karl-Anthony Towns,21.6,2023-04-09,MIN,,NOP,W,36.12166666666667,10,19,0.526,5,8,0.625,5,6,0.833,2,6,8,2,0,1,2,5,30
Anthony Davis,16.5,2023-04-09,LAL,,UTA,W,33.955,7,15,0.467,0,0,0.0,2,2,1.0,3,10,13,3,3,4,4,2,16
Kawhi Leonard,17.0,2023-04-09,LAC,@,PHX,W,35.92,11,21,0.524,0,3,0.0,3,5,0.6,0,15,15,6,0,0,4,4,25
Killian Hayes,20.0,2023-04-09,DET,@,CHI,L,39.266666666666666,8,18,0.444,3,8,0.375,7,8,0.875,2,6,8,7,0,1,5,0,26
Dominick Barlow,24.2,2023-04-09,SAS,@,DAL,W,34.0,8,11,0.727,0,0,0.0,5,7,0.714,6,13,19,1,1,1,0,5,21
Skylar Mays,21.7,2023-04-09,POR,,GSW,L,40.71666666666667,7,17,0.412,2,7,0.286,5,5,1.0,0,4,4,12,3,0,2,2,21
Saben Lee,20.8,2023-04-09,PHX,,LAC,L,44.21666666666667,8,21,0.381,3,8,0.375,6,8,0.75,1,2,3,10,2,0,1,3,25
Russell Westbrook,23.1,2023-04-09,LAC,@,PHX,W,39.78333333333333,8,19,0.421,2,4,0.5,7,10,0.7,6,1,7,9,1,0,2,1,25
Ousmane Dieng,20.3,2023-04-09,OKC,,MEM,W,45.18333333333333,8,15,0.533,2,8,0.25,4,5,0.8,1,7,8,9,1,1,4,2,22
Sandro Mamukelashvili,19.1,2023-04-09,SAS,@,DAL,W,31.45,8,17,0.471,4,7,0.571,3,6,0.5,3,8,11,4,0,1,2,0,23
Paul Reed,18.7,2023-04-09,PHI,@,BKN,W,27.716666666666665,8,15,0.533,1,2,0.5,0,0,0.0,4,6,10,1,2,5,1,2,17
Stephen Curry,24.5,2023-04-09,GSW,@,POR,W,22.45,9,15,0.6,5,10,0.5,3,3,1.0,0,5,5,7,0,0,1,0,26
Ziaire Williams,21.1,2023-04-09,MEM,@,OKC,L,32.65,9,19,0.474,3,8,0.375,3,4,0.75,1,3,4,9,0,1,1,1,24
Mac McClung,18.5,2023-04-09,PHI,@,BKN,W,33.25,8,17,0.471,3,9,0.333,1,3,0.333,3,6,9,9,0,0,1,3,20
Jordan Goodwin,17.5,2023-04-09,WAS,,HOU,L,29.55,8,14,0.571,3,8,0.375,3,4,0.75,0,5,5,5,2,1,4,3,22
Mike Muscala,22.9,2023-04-09,BOS,,ATL,W,33.416666666666664,9,13,0.692,4,7,0.571,5,7,0.714,4,4,8,2,0,0,2,3,27
Olivier Sarr,18.3,2023-04-09,OKC,,MEM,W,42.211666666666666,10,15,0.667,0,2,0.0,2,4,0.5,2,13,15,1,1,0,1,6,22
Bruce Brown,20.1,2023-04-09,DEN,,SAC,W,31.75,9,17,0.529,0,1,0.0,3,5,0.6,0,6,6,6,3,0,0,2,21
Bennedict Mathurin,20.9,2023-04-09,IND,@,NYK,W,36.81666666666667,6,13,0.462,2,3,0.667,12,13,0.923,0,3,3,6,0,1,3,2,26
Kelly Olynyk,18.8,2023-04-09,UTA,@,LAL,L,29.266666666666666,9,13,0.692,3,4,0.75,2,2,1.0,0,5,5,4,0,2,4,1,23
Jared Butler,16.4,2023-04-09,OKC,,MEM,W,45.61666666666667,10,21,0.476,5,9,0.556,0,0,0.0,1,2,3,4,1,0,3,0,25
Alperen Sengun,14.1,2023-04-09,HOU,@,WAS,W,23.533333333333335,4,9,0.444,0,0,0.0,4,5,0.8,3,9,12,6,2,2,4,3,12
Mark Williams,20.4,2023-04-09,CHA,@,CLE,W,30.433333333333334,9,10,0.9,0,0,0.0,4,6,0.667,1,9,10,0,1,2,2,3,22
Andrew Nembhard,20.1,2023-04-09,IND,@,NYK,W,37.56666666666667,7,13,0.538,1,3,0.333,4,5,0.8,0,3,3,9,3,0,2,1,19
Victor Oladipo,14.8,2023-04-09,MIA,,ORL,W,23.483333333333334,7,12,0.583,5,8,0.625,0,0,0.0,0,2,2,8,2,0,6,2,19
Shake Milton,19.4,2023-04-09,PHI,@,BKN,W,36.266666666666666,8,13,0.615,2,3,0.667,2,2,1.0,1,2,3,8,2,0,2,4,20
Moses Moody,21.6,2023-04-09,GSW,@,POR,W,29.116666666666667,10,14,0.714,4,7,0.571,1,1,1.0,0,4,4,4,0,0,0,4,25
Donte DiVincenzo,17.1,2023-04-09,GSW,@,POR,W,21.283333333333335,3,7,0.429,2,5,0.4,2,2,1.0,1,5,6,8,5,0,2,0,10
Johnny Davis,7.4,2023-04-09,WAS,,HOU,L,39.78333333333333,4,20,0.2,3,15,0.2,2,4,0.5,3,5,8,8,2,0,2,4,13
Jaden Hardy,18.7,2023-04-09,DAL,,SAS,L,28.166666666666668,11,23,0.478,1,7,0.143,2,2,1.0,2,3,5,5,0,0,0,1,25
Norman Powell,19.5,2023-04-09,LAC,@,PHX,W,31.553333333333335,12,22,0.545,0,3,0.0,5,7,0.714,2,3,5,0,1,0,1,1,29
RaiQuan Gray,13.5,2023-04-09,BKN,,PHI,L,35.083333333333336,6,12,0.5,2,5,0.4,2,2,1.0,3,6,9,7,0,1,4,5,16
Davis Bertans,17.3,2023-04-09,DAL,,SAS,L,28.416666666666668,7,13,0.538,5,11,0.455,0,0,0.0,2,5,7,1,0,2,0,1,19
Kevon Harris,19.0,2023-04-09,ORL,@,MIA,L,26.766666666666666,7,12,0.583,4,7,0.571,4,7,0.571,3,5,8,2,0,0,0,3,22
Jonathan Kuminga,16.8,2023-04-09,GSW,@,POR,W,24.0,6,9,0.667,1,1,1.0,2,2,1.0,2,5,7,6,1,2,3,2,15
CJ McCollum,10.2,2023-04-09,NOP,@,MIN,L,38.81666666666667,9,24,0.375,0,5,0.0,5,8,0.625,0,5,5,3,2,0,2,5,23
Svi Mykhailiuk,11.9,2023-04-09,CHA,@,CLE,W,35.03333333333333,6,18,0.333,2,10,0.2,2,2,1.0,4,3,7,6,2,0,3,2,16
